NlmUniqueID	Title	MedlineTA	PublicationInfo/Country	PublicationInfo/Place	PublicationInfo/Publisher	PublicationInfo/PublicationFirstYear	PublicationInfo/PublicationEndYear	PublicationInfo/Frequency	ISSN[@IssnType="Electronic"]	ISSN[@IssnType="Print"]	ISSNLinking	Language	TitleContinuationYN	IndexingStartDate	CurrentlyIndexedYN	IndexOnlineYN	IndexingSubset	IndexingSelectedURL	ReportedMedlineYN	
9875136	1199 news. National Union of Hospital and Health Care Employees. District 1199	1199 News	United States	New York	National Union of Hospital and Health Care Employees.	19uu		8 issues a year,		0012-6535	0012-6535	eng	N		N	N	H		Y	
9015384	20 century British history	20 Century Br Hist	England	Eynsham, Oxford	Oxford University Press	1990		4 no. a year,	1477-4674	0955-2359	0955-2359	eng	N	1990	Y	N	QIS		Y	
101637720	A & A case reports	A A Case Rep	United States	[New York, NY]	Wolters Kluwer Health / OvidSP	2013	2017	Biweekly	2325-7237		2325-7237	eng	N		N	Y	IM	https://ovidsp.ovid.com/ovidweb.cgi?T=JS&MODE=ovid&PAGE=toc&D=ovft&AN=01720097-000000000-00000	Y	
101714112	A&A practice	A A Pract	United States	[Philadelphia, PA]	Wolters Kluwer Health, Inc.	2018		Biweekly	2575-3126		2575-3126	eng	Y	2018	Y	Y	IM	https://ovidsp.ovid.com/ovidweb.cgi?T=JS&MODE=ovid&PAGE=toc&D=ovft&AN=02054229-000000000-00000	Y	
101269322	AACN advanced critical care	AACN Adv Crit Care	United States	Aliso Viejo, CA	American Association of Critical-Care Nurses (AACN)	2006		Quarterly	1559-7776	1559-7768	1559-7768	eng	Y	2006	Y	Y	N	https://aacnjournals.org/aacnacconline	Y	
9508191	AACN clinical issues	AACN Clin Issues	United States	Hagerstown, MD	Lippincott Williams & Wilkins	1995	2006	Quarterly	1538-9812	1079-0713	1079-0713	eng	Y		N	N	N	https://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=toc&D=yrovft&AN=00044067-000000000-00000	Y	
9009969	AACN clinical issues in critical care nursing	AACN Clin Issues Crit Care Nurs	United States	Philadelphia	J.B. Lippincott Co.	1990	1994	Quarterly		1046-7467	1046-7467	eng	N		N	N	N		Y	
7708172	AADE editors' journal	AADE Ed J	United States	Santa Barbara Ca	American Association Of Dental Editors	1974	1983	Three no. a year		0160-6999	0160-6999	eng	N		N	N	D		Y	
0431420	AANA journal	AANA J	United States	Park Ridge, Ill.	American Association of Nurse Anesthetists	1974		Bimonthly	2162-5239	0094-6354	0094-6354	eng	N	1974	Y	Y	N	https://www.aana.com/publications/aana-journal	Y	
8207766	AANNT journal	AANNT J	United States	[Pitman, N.J.]	The Association	1981	1984	Seven no. a year		0744-1479	0744-1479	eng	N		N	N	N		Y	
8608669	AAOHN journal : official journal of the American Association of Occupational Health Nurses	AAOHN J	United States	Thorofare Nj	Charles B Slack	1986	2011	Monthly	1938-2448	0891-0162	0891-0162	eng	N		N	N	N	https://journals.sagepub.com/home/whs	Y	
9206330	AAPPO journal : the journal of the American Association of Preferred Provider Organizations	AAPPO J	United States	Fort Lee, NJ	Health Care Communications, Inc.	1991	1994	Bimonthly		1054-5913	1054-5913	eng	N		N	N	T		Y	
101223209	The AAPS journal	AAPS J	United States	Arlington, Va., USA	American Association of Pharmaceutical Scientists	2004		Four no. a year	1550-7416		1550-7416	eng	Y	2004	Y	Y	IM	https://link.springer.com/journal/12248	Y	
100897065	AAPS pharmSci	AAPS PharmSci	United States	Alexandria, Va.	American Association of Pharmaceutical Scientists	1999	2004	Quarterly	1522-1059		1522-1059	eng	N		N	Y	IM	http://aapspharmsci.org/	Y	
100960111	AAPS PharmSciTech	AAPS PharmSciTech	United States	New York	Springer	2000		Quarterly	1530-9932		1530-9932	eng	N	2000	Y	Y	IM	https://link.springer.com/journal/12249	Y	
1251052	AARN news letter	AARN News Lett	Canada	Edmonton	Alberta Association Of Registered Nurses	1945	1998	Eleven no. a year		0001-0197	0001-0197	eng	N		N	N	N		Y	
9878133	AAUP bulletin : quarterly publication of the American Association of University Professors	AAUP Bull	United States	Easton, Pa.	The Association	1956	1978	Quarterly		0001-026X	0001-026X	eng	N		N	N	OM		Y	
9877112	AB bookman's weekly : for the specialist book world	AB Bookm Wkly	United States	Newark, N.J.	Sol M. Malkin	1967	1999	Weekly		0001-0340	0001-0340	eng	N		N	N	Q		Y	
14480040R	Abbottempo	Abbottempo	England	[London	Produced by Interspan for Abbott Laboratories]	1963	1967			0567-4824		eng	N		N	N	OM		Y	
9303672	Abdominal imaging	Abdom Imaging	United States	New York, NY	Springer International	1993	2015	Bimonthly	1432-0509	0942-8925	0942-8925	eng	N		N	Y	IM	http://link.springer.com/journal/volumesAndIssues/261	Y	
101674571	Abdominal radiology (New York)	Abdom Radiol (NY)	United States	[New York]	Springer	2016		Monthly,	2366-0058	2366-004X		eng	Y	2016	Y	Y	IM	http://link.springer.com/journal/volumesAndIssues/261	Y	
14480310R	Abhandlungen zur Geschichte der Medizin und der Naturwissenschaften	Abh Gesch Med Naturwiss	Germany	Husum	Matthieson Verlag	1934		Irregular		0174-870X	0174-870X	ger	N		N	N	QIS		Y	
9112807	The ABNF journal : official journal of the Association of Black Nursing Faculty in Higher Education, Inc	ABNF J	United States	Lisle, IL	Tucker Publications, Inc.	1990		Bimonthly,	2169-4133	1046-7041	1046-7041	eng	N		N	N	N		Y	
24320650R	Abstracts. International Congress on Tropical Medicine and Malaria (4th : 1948 : Washington, D. C.)	Abstr Int Congr Trop Med Malar	United States	Washington, D. C.	U. S. Govt. Print. Off.	1948						eng	N		N	N	OM		Y	
59930170R	Abstracts and translations from the science library. Institute of Living	Abstr Translat Sci Library	United States	Hartford.		1932	1944					eng	N		N	N	OM		Y	
9418450	Academic emergency medicine : official journal of the Society for Academic Emergency Medicine	Acad Emerg Med	United States	Hoboken, N.J.	Wiley	1994		Monthly,	1553-2712	1069-6563	1069-6563	eng	N	1994	Y	Y	IM	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1553-2712	Y	
7703609	Academy of Management journal. Academy of Management	Acad Manage J	United States	Mississippi State Ms	Mississippi State University	1963		Bimonthly,	1948-0989	0001-4273	0001-4273	eng	N		N	N	HSR		Y	
9877758	Academy of management review. Academy of Management	Acad Manage Rev	United States	Ada, Ohio	Academy of Management.	1976		Quarterly	1930-3807	0363-7425	0363-7425	eng	N		N	N	H		Y	
8904605	Academic medicine : journal of the Association of American Medical Colleges	Acad Med	United States	Philadelphia, PA	Published for the Association of American Medical Colleges by Lippincott Williams & Wilkins	1989		Monthly	1938-808X	1040-2446	1040-2446	eng	N	1989	Y	Y	IM	http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=toc&D=yrovft&AN=00001888-000000000-00000	Y	
9114562	The Academic nurse : the journal of the Columbia University School of Nursing	Acad Nurse	United States	New York Ny	School Of Nursing, Columbia University And The Office Of Professional Communication	1987	2014	Semiannual		1062-0249	1062-0249	eng	N		N	N	N	https://www.nursing.columbia.edu/about-us/news/publications	Y	
101499145	Academic pediatrics	Acad Pediatr	United States	New York	Elsevier	2009		Bimonthly	1876-2867	1876-2859	1876-2859	eng	Y	2009	Y	Y	IM	http://www.sciencedirect.com/science/journal/18762859	Y	
14490460R	Academia Peruana de Cirugía	Acad Peru Cir	Peru	Lima	Academia Peruana De Cirugia	1950	1980	Quarterly		0001-3854	0001-3854	spa	N		N	N	IM		Y	
8917200	Academic psychiatry : the journal of the American Association of Directors of Psychiatric Residency Training and the Association for Academic Psychiatry	Acad Psychiatry	United States	New York, NY	Springer	1989		Quarterly	1545-7230	1042-9670	1042-9670	eng	N	2003	Y	Y	IM	http://link.springer.com/journal/volumesAndIssues/40596	Y	
9440159	Academic radiology	Acad Radiol	United States	Reston Va	Association Of University Radiologists	1994		Monthly	1878-4046	1076-6332	1076-6332	eng	N	1996	Y	Y	IM	http://www.sciencedirect.com/science/journal/10766332	Y	
7503275	Academy review of the California Academy of Periodontology, United States Section, ARPA Internationale	Acad Rev Calif Acad Periodontol	United States	San Francisco Ca	California Academy Of Periodontology	1953	1966	Semiannual		0008-0810	0008-0810	eng	N		N	N	D		Y	
14510400R	Acarologia	Acarologia	France	Paris	Centre National De La Recherche Scientifique	1959		Four no. a year		0044-586X	0044-586X	mul	N		N	N	IM		Y	
0157313	Accounts of chemical research	Acc Chem Res	United States	Washington	American Chemical Society.	1968		Monthly	1520-4898	0001-4842	0001-4842	eng	N	2000	Y	Y	IM	http://pubs.acs.org/journals/achre4/index.html	Y	
14510510R	Accademia medica	Accad Medica	Italy	[Torino, etc.]		1930	19uu					und	N		N	N	OM		Y	
14520180R	Acção médica	Accao Med	Portugal	Lisboa	Associação dos Médicos Católicos Portugueses	1936		Quarterly		0870-0311	0870-0311	por	N		N	N	OM		Y	
1254476	Accident; analysis and prevention	Accid Anal Prev	England	Oxford	Pergamon Press	1969		Bimonthly	1879-2057	0001-4575	0001-4575	eng	N	1985	Y	Y	IM	http://www.sciencedirect.com/science/journal/00014575	Y	
9305090	Accident and emergency nursing	Accid Emerg Nurs	England	Oxford	Elsevier	1993	2007	Four no. a year		0965-2302	0965-2302	eng	N		N	N	N	http://www.sciencedirect.com/science/journal/09652302	Y	
9100813	Accountability in research	Account Res	United States	London	Informa Healthcare	1989		Four no. a year	1545-5815	0898-9621	0898-9621	eng	N	2006	Y	Y	IM	http://www.tandfonline.com/loi/gacr20	Y	
