NlmUniqueID	BroadJournalHeading	
9015384	History of Medicine	
101637720	Anesthesiology	
101714112	Anesthesiology	
101269322	Critical Care	
101269322	Nursing	
9508191	Nursing	
9009969	Critical Care	
9009969	Nursing	
7708172	Dentistry	
0431420	Anesthesiology	
0431420	Nursing	
8207766	Nephrology	
8207766	Nursing	
8608669	Nursing	
8608669	Occupational Medicine	
9206330	Health Services	
101223209	Drug Therapy	
101223209	Pharmacology	
100897065	Drug Therapy	
100897065	Pharmacology	
100960111	Pharmacology	
1251052	Nursing	
9303672	Diagnostic Imaging	
9303672	Gastroenterology	
101674571	Diagnostic Imaging	
101674571	Gastroenterology	
14480310R	History of Medicine	
14480310R	Science	
9112807	Nursing	
9418450	Emergency Medicine	
7703609	Health Services	
8904605	Education	
9114562	Nursing	
101499145	Pediatrics	
14490460R	General Surgery	
8917200	Psychiatry	
9440159	Radiology	
7503275	Dentistry	
14510400R	Biology	
0157313	Chemistry	
1254476	Traumatology	
9305090	Emergency Medicine	
9305090	Nursing	
9305090	Traumatology	
9100813	Ethics	
9104824	Medicine	
0373054	Medicine	
101729147	Biomedical Engineering	
101729147	Biotechnology	
101504991	Biomedical Engineering	
101504991	Biotechnology	
101654670	Biomedical Engineering	
101654670	Biotechnology	
101282906	Biochemistry	
101282906	Biology	
101525337	Neurology	
101540531	Chemistry	
101654580	Anti-Infective Agents	
101654580	Drug Therapy	
101654580	Microbiology	
101574672	Chemistry	
101313589	Nanotechnology	
101669031	Biotechnology	
101669031	Chemistry Techniques, Analytical	
101575075	Biotechnology	
101575075	Molecular Biology	
0400662	Neurology	
0400662	Physiology	
8300028	Medicine	
0370567	Allergy and Immunology	
0340732	Anesthesiology	
0421022	Anesthesiology	
0370270	Anesthesiology	
0370271	Anesthesiology	
9432542	Anesthesiology	
101214918	Anesthesiology	
0370272	Anatomy	
0370273	Anatomy	
7801158	Genetics, Medical	
9890631	Aerospace Medicine	
8307581	Physical and Rehabilitation Medicine	
0067725	Biochemistry	
0067725	Biophysics	
8701158	Biochemistry	
8701158	Biophysics	
101206716	Biochemistry	
101206716	Biophysics	
14520300R	Biochemistry	
101194794	Biomedical Engineering	
101194794	Physiology	
0370274	Biology	
1246764	Biochemistry	
1246764	Biology	
8404358	Biology	
0370275	Biology	
0370275	Medicine	
0370276	Biology	
0370276	Medicine	
101233144	Biomedical Engineering	
101295064	Medicine	
8106323	Medicine	
0421520	Biology	
0370300	Neoplasms	
0370570	Cardiology	
0376316	Cardiology	
0421263	Chemistry	
9012772	Biochemistry	
9012772	Chemistry	
0421761	Chemistry	
0421265	Biochemistry	
0421265	Chemistry	
101247110	Chemistry	
2984283R	General Surgery	
0370571	General Surgery	
8309977	General Surgery	
0370303	General Surgery	
0372631	General Surgery	
0407123	Orthopedics	
0407123	Traumatology	
0370301	General Surgery	
7906530	General Surgery	
0370305	General Surgery	
0070154	Science	
9103983	General Surgery	
0370306	Medicine	
0043523	Medicine	
9425483	Medicine	
0211526	Chemistry	
8305825	Chemistry Techniques, Analytical	
0211627	Biophysics	
0211627	Chemistry	
0211627	Physics	
101620182	Chemistry Techniques, Analytical	
8403252	Chemistry Techniques, Analytical	
0211630	Biophysics	
0211630	Chemistry	
101609037	Chemistry Techniques, Analytical	
8305826	Chemistry Techniques, Analytical	
101620313	Chemistry Techniques, Analytical	
9305878	Chemistry Techniques, Analytical	
101620319	Chemistry Techniques, Analytical	
101226117	Chemistry Techniques, Analytical	
0370307	Cell Biology	
0370310	Dermatology	
0370310	Sexually Transmitted Diseases	
0370311	Dermatology	
0370311	Sexually Transmitted Diseases	
9422563	Dermatology	
9422563	Sexually Transmitted Diseases	
9433781	Dermatology	
9200299	Endocrinology	
0123567	Endocrinology	
0236000	Embryology	
0235532	Anatomy	
8108943	Embryology	
0370312	Endocrinology	
0370313	Endocrinology	
1300660	Reproductive Medicine	
0414075	Gastroenterology	
0261505	Gastroenterology	
0370314	Genetics, Medical	
0200600	Genetics	
7501996	Geriatrics	
0370317	Gynecology	
0147664	Gynecology	
0147664	Obstetrics	
0141053	Hematology	
0262610	Hematology	
0340734	Gastroenterology	
0340735	Medicine	
0060677	History of Medicine	
7907017	History of Medicine	
0416660	History of Medicine	
0416660	Science	
0370320	Histocytochemistry	
0061372	Histocytochemistry	
0370321	Neoplasms	
0370321	Radiology	
0421025	Nuclear Medicine	
0421025	Radiology	
0413650	Tropical Medicine	
0037353	Tropical Medicine	
101587903	Medicine	
0370323	Medicine	
7501997	Internal Medicine	
7502262	Internal Medicine	
0243663	Medicine	
9208249	Medicine	
101241032	History of Medicine	
8400269	Medicine	
7901042	Medicine	
14540050R	Medicine	
14540080R	Gastroenterology	
0370324	Medicine	
9713996	Jurisprudence	
7611894	Forensic Sciences	
7611894	Jurisprudence	
0372633	Medicine	
0417611	Medicine	
0417612	Medicine	
0370326	Medicine	
7906803	Medicine	
0370330	Medicine	
0370331	Medicine	
9705947	Medicine	
9815916	Medicine	
0370333	Microbiology	
7901426	Allergy and Immunology	
7901426	Microbiology	
7901426	Virology	
8400270	Microbiology	
9434021	Allergy and Immunology	
9434021	Microbiology	
7610362	Microbiology	
7610360	Microbiology	
7610361	Microbiology	
7600027	Allergy and Immunology	
7600027	Microbiology	
7600027	Virology	
0370334	Anatomy	
0375331	Anatomy	
8307964	Anatomy	
0370335	Anatomy	
9811169	Cardiology	
9811169	Physiology	
1246675	Biology	
1246675	Neurology	
0151000	Neurosurgery	
100962752	Neurosurgery	
0140560	Neurosurgery	
0247035	Neurology	
9421556	Neurology	
0247036	Neurology	
0247036	Psychiatry	
7506814	Neurology	
0370336	Neurology	
0370337	Neurology	
9815355	Neurology	
0412041	Neurology	
101610673	Neurology	
0370342	Neurology	
9612501	Neurology	
9612501	Psychiatry	
0162324	Neurology	
0147634	Gynecology	
0147634	Obstetrics	
0221541	Gynecology	
0221541	Obstetrics	
0202673	Gynecology	
0202673	Obstetrics	
0370343	Gynecology	
0370343	Obstetrics	
0337655	Gynecology	
0337655	Obstetrics	
8610218	Dentistry	
0370344	Dentistry	
0370345	Dentistry	
14540210R	Dentistry	
8709065	Neoplasms	
0370346	Neoplasms	
101468102	Ophthalmology	
0370347	Ophthalmology	
9507578	Ophthalmology	
9516974	Ophthalmology	
0370350	Ophthalmology	
9216417	Ophthalmology	
101485969	Ophthalmology	
101231512	Orthopedics	
2985165R	Orthopedics	
0370352	Orthopedics	
0370353	Orthopedics	
101244827	Orthopedics	
9424806	Orthopedics	
9424806	Traumatology	
101190312	Orthopedics	
0370354	Otolaryngology	
0370355	Otolaryngology	
0373057	Otolaryngology	
8213019	Otolaryngology	
7610363	Otolaryngology	
14540260R	Otolaryngology	
101770938	Otolaryngology	
9205968	Pediatrics	
0372634	Pediatrics	
0372635	Pediatrics	
8307729	Pediatrics	
0370357	Pediatrics	
0000211	Pediatrics	
0173166	Pediatrics	
9315043	Pediatrics	
100958202	Pediatrics	
0400661	Psychiatry	
9301947	Parasitology	
0372637	Pathology	
8206622	Pathology	
8206623	Microbiology	
8206624	Allergy and Immunology	
8211441	Allergy and Immunology	
8211441	Microbiology	
8211441	Pathology	
7508471	Microbiology	
7508471	Pathology	
7508468	Pathology	
7508472	Microbiology	
7508470	Allergy and Immunology	
7508470	Microbiology	
7508469	Allergy and Immunology	
8211440	Microbiology	
8211440	Pathology	
9303678	Pharmacology	
0414322	Pharmacology	
