NlmUniqueID	Title	MedlineTA	Country	Place	Publisher	PublicationFirstYear	PublicationEndYear	Frequency	ISSN-Electronic	ISSN-Print	ISSN-Linking	Language	TitleContinuationYN	IndexingStartDate	CurrentlyIndexedYN	IndexOnlineYN	IndexingSubset	IndexingSelectedURL	ReportedMedlineYN	ISSN
9015384	20 century British history	20 Century Br Hist	England	Eynsham, Oxford	Oxford University Press	1990		4 no. a year,	1477-4674	0955-2359	0955-2359	eng	N	1990.0	Y	N	QIS		Y	1477-4674
101714112	A&A practice	A A Pract	United States	[Philadelphia, PA]	Wolters Kluwer Health, Inc.	2018		Biweekly	2575-3126		2575-3126	eng	Y	2018.0	Y	Y	IM	https://ovidsp.ovid.com/ovidweb.cgi?T=JS&MODE=ovid&PAGE=toc&D=ovft&AN=02054229-000000000-00000	Y	2575-3126
101269322	AACN advanced critical care	AACN Adv Crit Care	United States	Aliso Viejo, CA	American Association of Critical-Care Nurses (AACN)	2006		Quarterly	1559-7776	1559-7768	1559-7768	eng	Y	2006.0	Y	Y	N	https://aacnjournals.org/aacnacconline	Y	1559-7776
0431420	AANA journal	AANA J	United States	Park Ridge, Ill.	American Association of Nurse Anesthetists	1974		Bimonthly	2162-5239	0094-6354	0094-6354	eng	N	1974.0	Y	Y	N	https://www.aana.com/publications/aana-journal	Y	2162-5239
101223209	The AAPS journal	AAPS J	United States	Arlington, Va., USA	American Association of Pharmaceutical Scientists	2004		Four no. a year	1550-7416		1550-7416	eng	Y	2004.0	Y	Y	IM	https://link.springer.com/journal/12248	Y	1550-7416
100960111	AAPS PharmSciTech	AAPS PharmSciTech	United States	New York	Springer	2000		Quarterly	1530-9932		1530-9932	eng	N	2000.0	Y	Y	IM	https://link.springer.com/journal/12249	Y	1530-9932
101674571	Abdominal radiology (New York)	Abdom Radiol (NY)	United States	[New York]	Springer	2016		Monthly,	2366-0058	2366-004X		eng	Y	2016.0	Y	Y	IM	http://link.springer.com/journal/volumesAndIssues/261	Y	2366-0058
9418450	Academic emergency medicine : official journal of the Society for Academic Emergency Medicine	Acad Emerg Med	United States	Hoboken, N.J.	Wiley	1994		Monthly,	1553-2712	1069-6563	1069-6563	eng	N	1994.0	Y	Y	IM	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1553-2712	Y	1553-2712
8904605	Academic medicine : journal of the Association of American Medical Colleges	Acad Med	United States	Philadelphia, PA	Published for the Association of American Medical Colleges by Lippincott Williams & Wilkins	1989		Monthly	1938-808X	1040-2446	1040-2446	eng	N	1989.0	Y	Y	IM	http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=toc&D=yrovft&AN=00001888-000000000-00000	Y	1938-808X
101499145	Academic pediatrics	Acad Pediatr	United States	New York	Elsevier	2009		Bimonthly	1876-2867	1876-2859	1876-2859	eng	Y	2009.0	Y	Y	IM	http://www.sciencedirect.com/science/journal/18762859	Y	1876-2867
