issn,year_founded,year_reverse_flipped,journal_location,society_affiliation,other_sci_affiliation,journal_name,post_flip_publisher,access_model,apc_pre,apc_post,apc_now,discipline,flipped_oa,born_oa,embargo
2190-5738,2011,2017,Saudi Arabia,0,King Abdulaziz City of Science and Technology (KACST),3 Biotech,Springer Nature,Hybrid,0,3000,3000,LS,0,1,12
1012-8255,1988,2016,Peru,0,Consejo Latinoamericano de Escuelas de Administración,Academia Revista Latinoamericana de Administracion,Emerald,Hybrid,0,1595,2950,SSH,1,0,0
1895-7455,1953,2017,Poland,0,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Acta Geophysica,Springer Nature,Hybrid,0,3000,3000,PSM,1,0,12
1745-7254,1980,2005,China,0,Chinese Academy of Sciences,Acta Pharmacologica Sinica,Springer Nature,Subscription,0,-,3300,Health,1,0,12
0210-4806,1977,2012,Spain,Asociación Española de Urología,0,Actas Urologicas Espanolas,Elsevier,Subscription,N/A,-,-,SSH,1,0,
1896-1126,1956,2014,Poland,0,Medical University of Bialystok,Advances in Medical Sciences,Elsevier,Hybrid,0,300,1200,Health,1,0,12
1872-5457,2008,2015,-,0,0,African Diaspora,Brill Academic Publishers,Hybrid,1360,2745,1600,SSH,1,0,24
1472-2747,2001,2006,-,0,0,Algebraic & Geometric Topology (AGT),Mathematical Sciences Publishers (MSP),Subscription,0,-,-,PSM,0,1,
0002-7014,1964,2009,Argentina,Argentinian Association of Paleontology,0,Ameghiniana,Argentinian Association of Paleontology,Subscription,0,-,300,PSM,1,0,N/A
2008-8752,2010,2015,Iran,0,Tusi Mathematical Research Group,Annals of Functional Analysis,Duke University Press,Hybrid,0,1000,1000,PSM,0,1,0
0003-486X,1884,2008,USA,0,Department of Mathematics at  Princeton University  with the cooperation of the Institute for Advanced Study,Annals of Mathematics,Department of Mathematics at  Princeton University  with the cooperation of the Institute for Advanced Study,Subscription,N/A,-,-,PSM,1,0,
0914-7187,1987,2008,Japan,Japanese Society of Nuclear Medicine,0,Annals of Nuclear Medicine,Springer Nature,Hybrid,0,3000,3000,Health,1,0,12
0003-6862,1966,2011,Japan,Japanese Society of Applied Entomology and Zoology,0,Applied Entomology and Zoology,Springer Nature,Subscription,N/A,-,3000,LS,1,0,12
2190-5517,2011,2018,Saudi Arabia,0,King Abdulaziz City of Science and Technology (KACST),Applied Nanoscience,Springer Nature,Hybrid,0,3000,3000,LS,0,1,12
1319-8025,1976,2011,Saudi Arabia,0,King Fahd University of Petroleum and Minerals,Arabian Journal for Science and Engineering,Springer Nature,Hybrid,N/A,3000,3000,PSM,1,0,12
0253-6269,1978,2009,South Korea,Pharmaceutical Society of Korea,0,Archives of Pharmacal Research,Springer Nature,Subscription,0,-,3000,Health,1,0,12
0365-6691,1926,2013,Spain,Sociedad Española de Oftalmología,0,Archivos de la Sociedad Espanola de Oftalmologia,Elsevier,Subscription,N/A,-,-,Health,1,0,
1566-5399,2001,2013,Netherlands,0,"Igitur, Utrecht Publishing & Archiving Services",Ars Disputandi : the Online Journal for Philosophy of Religion,Taylor & Francis,Hybrid,N/A,2950,2950,SSH,0,1,18
1309-1042,2010,2015,Turkey,0,Turkish National Committee for Air Pollution Research and Control,Atmospheric Pollution Research,Elsevier,Subscription,0,-,1500,PSM,0,1,24
0311-6999,1974,2011,Australia,Australian Association for Research in Education,0,Australian Educational Researcher,Springer Nature,Subscription,N/A,-,3000,SSH,1,0,12
1735-8787,2007,2015,Iran,0,Tusi Mathematical Research Group,Banach Journal of Mathematical Analysis,Duke University Press,Hybrid,0,1000,1000,PSM,0,1,0
2198-3534,2015,2019,-,0,0,Bandung: Journal of the Global South,Brill,Hybrid,980,2395,2395,SSH,0,1,24
1559-4106,2006,2014,USA,American Vacuum Society (AVS),0,Biointerphases,American Institute of Physics,Hybrid,1045,2200,1085,LS,1,0,0
0791-7945,1902,2009,Ireland,Royal Irish Academy,0,Biology and Environment,Royal Irish Academy,Subscription,0,-,N/A,LS,1,0,0
0037-8615,1995,2014,Mexico,Sociedad Matemática Mexicana,0,Boletin de la Sociedad Matematica Mexicana,Springer Nature,Hybrid,N/A,3000,3000,PSM,1,0,12
0103-9733,1971,2011,Brazil,Brazilian Physical Society,0,Brazilian Journal of Physics,Springer Nature,Hybrid,0,3000,3000,PSM,1,0,12
1759-3077,2009,2013,UK,0,University of Glasgow,Bulletin of Italian Politics,Taylor & Francis,Hybrid,0,2950,2950,SSH,0,1,18
0253-2964,1980,2015,South Korea,Korean Chemical Society,0,Bulletin of the Korean Chemical Society,Wiley,Hybrid,600,2500,2500,PSM,1,0,12
0846-5371,1950,2009,Canada,Canadian Association of Radiologists,0,Canadian Association of Radiologists Journal,Elsevier,Subscription,0,-,1700,Health,1,0,12
0823-2105,1984,2016,Canada,Canadian Society for the History of Medicine (prev Wilfrid Laurier University Press),0,Canadian bulletin of medical history = Bulletin canadien dhistoire de la medecine,University of Toronto Press,Hybrid,0,3000,3000,Health,1,0,12
1499-2671,1977,2012,Canada,Canadian Diabetes Association,0,Canadian Journal of Diabetes,Elsevier,Subscription,0,-,3300,Health,1,0,12
0706-7437,1956,2015,Canada,Canadian Psychiatric Association,0,Canadian Journal of Psychiatry,Sage,Subscription,0,-,1500,Health,1,0,0
2213-0896,1982,2016,-,0,0,Cancer Treatment Communications,Elsevier,Hybrid,600,650,650,Health,1,0,0
1001-0602,1990,2005,China,0,Chinese Academy of Sciences,Cell Research,Springer Nature,Subscription,0,-,3300,LS,1,0,12
1538-6279,1987,2013,USA,0,Hunter College Center for Puerto Rican Studies,Centro Journal,Hunter College Center for Puerto Rican Studies,Subscription,0,-,-,SSH,1,0,
1614-7065,1983,2005,China,0,Chinese Academy of Sciences,Chinese Journal of Chemistry,Wiley,Subscription,0,-,3000,LS,1,0,12
0577-9073,1963,2016,China,The Physical Society of the Republic of China,0,Chinese Journal of Physics,Elsevier,Hybrid,0,N/A,1500,PSM,1,0,24
1861-9541,1956,2014,China,0,"Chinese Academy of Sciences (CAS), National Natural Science Foundation of China (NSFC)",Chinese Science Bulletin,Springer Nature,Hybrid,0,3000,2500,PSM,1,0,12
2215-0382,2014,2016,-,0,0,Colloid and Interface Science Communications,Elsevier,Hybrid,750,1500,1500,PSM,0,1,24
1807-0302,1982,2013,Brazil,Brazilian Society of Computational and Applied Mathematics,0,Computational and Applied Mathematics,Springer Nature,Hybrid,0,3000,3000,PSM,1,0,12
