NlmUniqueID	MeshHeading	sherpa_oa	embargo	sherpa_oa_green	additional_oa_fee	sherpa_oa_hybrid
9015384	History	yes	24.0	yes	yes	yes
9015384	United Kingdom	yes	24.0	yes	yes	yes
101637720	Anesthesiology					
101714112	Anesthesiology					
101269322	Critical Care	yes				
101269322	Nursing Care	yes				
9508191	Critical Care					
9508191	Nursing Care					
9009969	Critical Care					
9009969	Nursing Care					
7708172	Publishing					
0431420	Anesthesiology					
0431420	Nursing					
8207766	Kidney Diseases					
8207766	Kidney Transplantation					
8207766	Renal Dialysis					
8608669	Occupational Health Nursing					
9206330	Managed Care Programs					
9206330	Preferred Provider Organizations					
9206330	United States					
101223209	Drug Therapy	yes	12.0	yes	yes	yes
101223209	Pharmaceutical Preparations	yes	12.0	yes	yes	yes
101223209	Technology, Pharmaceutical	yes	12.0	yes	yes	yes
100897065	Drug Therapy					
100897065	Pharmaceutical Preparations					
100897065	Technology, Pharmaceutical					
100960111	Biopharmaceutics	yes	12.0	yes	yes	yes
100960111	Dosage Forms	yes	12.0	yes	yes	yes
100960111	Drug Design	yes	12.0	yes	yes	yes
100960111	Drug Evaluation	yes	12.0	yes	yes	yes
100960111	Pharmaceutical Preparations	yes	12.0	yes	yes	yes
1251052	Alberta					
1251052	Nursing					
1251052	Societies, Nursing					
14480040R	Medicine					
9303672	Abdomen					
9303672	Diagnostic Imaging					
9303672	Gastrointestinal Diseases					
9303672	Urologic Diseases					
101674571	Abdomen	yes	12.0	yes	yes	yes
101674571	Diagnostic Imaging	yes	12.0	yes	yes	yes
101674571	Gastrointestinal Diseases	yes	12.0	yes	yes	yes
14480310R	History of Medicine					
14480310R	Science					
9112807	African Americans					
9112807	Nursing					
9112807	Nursing Research					
24320650R	Malaria					
24320650R	Tropical Medicine					
59930170R	Neurology					
59930170R	Psychiatry					
9418450	Emergency Medicine	yes	12.0	yes	yes	yes
8904605	Education, Medical	yes	12.0	yes	yes	yes
9114562	Education, Nursing					
9114562	New York City					
9114562	Nursing					
9114562	Nursing Care					
9114562	Schools, Nursing					
101499145	Ambulatory Care	yes	12.0	yes	yes	yes
101499145	Pediatrics	yes	12.0	yes	yes	yes
14490460R	General Surgery					
8917200	Psychiatry	yes	12.0	yes	yes	yes
9440159	Radiography	yes	12.0	yes	yes	yes
9440159	Radiology	yes	12.0	yes	yes	yes
7503275	Periodontics					
14510400R	Mites					
14510400R	Ticks					
0157313	Chemistry	yes	12.0	yes	yes	yes
0157313	Research	yes	12.0	yes	yes	yes
14510510R	Medicine					
14520180R	Medicine					
