NlmUniqueID	Title	MedlineTA	Country	Place	Publisher	PublicationFirstYear	PublicationEndYear	Frequency	ISSN-Electronic	ISSN-Print	ISSN-Linking	Language	TitleContinuationYN	IndexingStartDate	CurrentlyIndexedYN	IndexOnlineYN	IndexingSubset	IndexingSelectedURL	ReportedMedlineYN	ISSN	sherpa_oa	embargo	sherpa_oa_green	additional_oa_fee	sherpa_oa_hybrid	title_sherpa	issne_sherpa	issnp_sherpa	url	publisher_id	publisher_country	publisher_type	publisher_url	publisher_name	sherpa_id	sherpa_uri	ISSN_old_x	DOAJ_pissn	ISSN_old_y	DOAJ_title	DOAJ_eissn	DOAJ_Seal	DOAJ_date	DOAJ_year	DOAJ
9103983	Acta cirúrgica brasileira	Acta Cir Bras	Brazil	Sao Paulo	Sociedade Brasileira Para O Desenvolvimento Da Pesquisa Em Cirurgia Curso De Pos-Graduacao Em Tecnica Operatoria E Cirurgia Experimental Escola Paulista De Medicina	1986		Quarterly	1678-2674	0102-8650	0102-8650	eng	N	2005.0	Y	Y	IM	http://www.scielo.br/scielo.php?script=sci_issues&pid=0102-8650&lng=en&nrm=iso	Y	1678-2674																	1678-2674	1678-2674		Acta Cirúrgica Brasileira	1678-2674	No	2004-04-23T21:31:00Z	2004	yes
101587903	Acta medica academica	Acta Med Acad	Bosnia and Herzegovina	Sarajevo	Akademija nauka i umjetnosti Bosne i Hercegovine	2006		Three issues a year,	1840-2879	1840-1848	1840-1848	eng	N	2012.0	Y	Y	IM	http://www.ama.ba/index.php/ama/issue/archive	Y	1840-2879																	1840-2879	1840-2879		Acta Medica Academica	1840-2879	No	2013-01-08T11:33:20Z	2013	yes
101241032	Acta medico-historica adriatica : AMHA	Acta Med Hist Adriat	Croatia	Rijeka [Croatia]	Hrvatsko znanstveno društvo za povijest zdravstvene kulture	2003		Two no. a year	1334-6253	1334-4366	1334-4366	eng	N	2009.0	Y	Y	IM	http://hrcak.srce.hr/amha?lang=en	Y	1334-6253																	1334-6253	1334-6253		Acta Medico-Historica Adriatica	1334-6253	No	2018-09-07T10:29:11Z	2018	yes
7901042	Acta medica Indonesiana	Acta Med Indones	Indonesia	Jakarta, Indonesia	Indonesian Society of Internal Medicine	1968		Quarterly,		0125-9326	0125-9326	eng	N	2004.0	Y	Y	IM	http://www.actamedindones.org/index.php/ijim	Y	0125-9326																		0125-9326	2338-2732	Acta Medica Indonesiana	2338-2732	No	2013-10-03T13:46:32Z	2013	yes
101231512	Acta orthopaedica	Acta Orthop	England	London	Informa Healthcare	2005		Bimonthly	1745-3682	1745-3674	1745-3674	eng	Y	2005.0	Y	Y	IM	http://www.tandfonline.com/loi/iort20	Y	1745-3682																	1745-3682	1745-3682		Acta Orthopaedica	1745-3682	No	2005-03-02T10:20:44Z	2005	yes
101138582	Advances in clinical and experimental medicine : official organ Wroclaw Medical University	Adv Clin Exp Med	Poland	Wroclaw, Poland	The University	1998		Bimonthly,		1899-5276	1899-5276	eng	N	2012.0	Y	N	IM		Y	1899-5276																		1899-5276	2451-2680	Advances in Clinical and Experimental Medicine	2451-2680	No	2022-07-13T12:40:40Z	2022	yes
7503280	Anais da Academia Brasileira de Ciências	An Acad Bras Cienc	Brazil	Rio De Janeiro	Academia Brasileira De Ciencias	1929		Quarterly	1678-2690	0001-3765	0001-3765	eng	N	1970.0	Y	Y	IM	http://www.scielo.br/scielo.php?script=sci_issues&pid=0001-3765&lng=en&nrm=iso	Y	1678-2690																	1678-2690	1678-2690		Anais da Academia Brasileira de Ciências	1678-2690	No	2004-04-23T21:31:00Z	2004	yes
101472620	Anaesthesiology intensive therapy	Anaesthesiol Intensive Ther	Poland	Poznań, Poland	Termedia sp. z.o.o.	2001		5 times a year,	1731-2531	1642-5758	1642-5758	eng	N	2012.0	Y	Y	IM	https://www.termedia.pl/Journal/Anaesthesiology_Intensive_Therapy-118/Archive	Y	1731-2531																	1731-2531	1731-2531		Anaesthesiology Intensive Therapy	1731-2531	No	2017-04-26T10:48:12Z	2017	yes
101541993	Analytical cellular pathology (Amsterdam)	Anal Cell Pathol (Amst)	United States	New York	Hindawi	2010		Monthly	2210-7185	2210-7177	2210-7177	eng	Y	2010.0	Y	Y	IM	https://www.ncbi.nlm.nih.gov/pmc/journals/2671/	Y	2210-7185																	2210-7185	2210-7185		Analytical Cellular Pathology	2210-7185	Yes	2016-01-12T08:43:37Z	2016	yes
101652981	Anatolian journal of cardiology	Anatol J Cardiol	Turkey	İstanbul, Turkey	AVES	2014		Monthly	2149-2271	2149-2263	2149-2263	eng	Y	2015.0	Y	Y	IM	http://anatoljcardiol.com/jvi.aspx?pdir=anatoljcardiol&plng=eng&list=pub	Y	2149-2271																	2149-2271	2149-2271		Anatolian Journal of Cardiology	2149-2271	No	2016-08-28T07:49:25Z	2016	yes
101726292	Animal models and experimental medicine	Animal Model Exp Med	United States	[Hoboken, New Jersey]	John Wiley & Sons, Inc.	2018		Quarterly	2576-2095	2096-5451	2576-2095	eng	N	2021.0	Y	Y	IM	https://onlinelibrary.wiley.com/loi/25762095	Y	2576-2095																	2576-2095	2576-2095		Animal Models and Experimental Medicine	2576-2095	No	2018-07-26T14:03:51Z	2018	yes
9500166	Annals of agricultural and environmental medicine : AAEM	Ann Agric Environ Med	Poland	Lublin, Poland	Institute of Agricultural Medicine	1994		Two no. a year	1898-2263	1232-1966	1232-1966	eng	N	1998.0	Y	Y	IM	http://www.aaem.pl	Y	1898-2263																	1898-2263	1898-2263		Annals of Agricultural and Environmental Medicine	1898-2263	No	2004-04-02T11:12:04Z	2004	yes
101155885	Annals of hepatology	Ann Hepatol	Mexico	México	Fundación Clínica Médica Sur	2002		Bimonthly,		1665-2681	1665-2681	eng	N	2002.0	Y	Y	IM	http://new.medigraphic.com/cgi-bin/publicaciones.cgi?IDREVISTA=13&NOMBRE=Annals%20of%20Hepatology	Y	1665-2681																		1665-2681	2659-5982	Annals of Hepatology	2659-5982	No	2021-05-28T12:51:37Z	2021	yes
9703158	Annals of thoracic and cardiovascular surgery : official journal of the Association of Thoracic and Cardiovascular Surgeons of Asia	Ann Thorac Cardiovasc Surg	Japan	Tokyo	Japanese Editorial Committee of Annals of Thoracic and Cardiovascular Surgery	1995		Six no. a year	2186-1005	1341-1098	1341-1098	eng	N	1998.0	Y	Y	IM	http://www.jstage.jst.go.jp/browse/atcs/	Y	2186-1005																	2186-1005	2186-1005		Annals of Thoracic and Cardiovascular Surgery	2186-1005	No	2021-10-11T12:25:22Z	2021	yes
101126728	Archivos de cardiología de México	Arch Cardiol Mex	Mexico	[Mexico, D.F.]	Permanyer Mexico	2001		Quarterly	1665-1731	1405-9940	1665-1731	eng	Y	2001.0	Y	Y	IM	http://www.archivoscardiologia.com/	Y	1665-1731																	1665-1731	1665-1731		Archivos de Cardiología de México	1665-1731	No	2018-09-11T13:58:42Z	2018	yes
101652058	Archives of endocrinology and metabolism	Arch Endocrinol Metab	Brazil	São Paulo, SP	Segmento Farma Editores	2015		Bimonthly	2359-4292	2359-3997	2359-3997	eng	Y	2015.0	Y	Y	IM	http://www.abem-sbem.org.br/	Y	2359-4292																	2359-4292	2359-4292		Archives of Endocrinology and Metabolism	2359-4292	No	2017-02-09T23:50:11Z	2017	yes
100890196	Archivos de prevención de riesgos laborales	Arch Prev Riesgos Labor	Spain	Barcelona	Societat Catalana de Salut Laboral	1998		Quarterly	1578-2549	1138-9672	1138-9672	spa	N	2012.0	Y	Y	IM	http://archivosdeprevencion.com/	Y	1578-2549																	1578-2549	1578-2549		Archivos de Prevención de Riesgos Laborales	1578-2549	No	2021-03-11T10:13:44Z	2021	yes
101549567	Archives of Razi Institute	Arch Razi Inst	Iran	Karaj, Iran	Razi Vaccine and Serum Research Institute	1999		Semiannual,	2008-9872	0365-3439	0365-3439	eng	N	2018.0	Y	Y	IM	http://archrazi.areeo.ac.ir/	Y	2008-9872																	2008-9872	2008-9872		Archives of Razi Institute	2008-9872	No	2018-02-18T08:34:01Z	2018	yes
0421031	Arquivos brasileiros de cardiologia	Arq Bras Cardiol	Brazil	Sao Paulo	Sociedad Brasileira De Cardiologia	1948		Monthly	1678-4170	0066-782X	0066-782X	eng	N	1965.0	Y	Y	IM	http://www.scielo.br/scielo.php?script=sci_serial&pid=0066-782x&lng=en&nrm=iso	Y	1678-4170																	1678-4170	1678-4170		Arquivos Brasileiros de Cardiologia	1678-4170	No	2004-04-23T21:31:00Z	2004	yes
15310600R	Arquivos de gastroenterologia	Arq Gastroenterol	Brazil	São Paulo	Instituto Brasileiro de Estudos e Pesquisas de Gastroenterologia.	1964		Quarterly	1678-4219	0004-2803	0004-2803	eng	N	1978.0	Y	Y	IM	http://www.scielo.br/scielo.php?script=sci_issues&pid=0004-2803&lng=en&nrm=iso	Y	1678-4219																	1678-4219	1678-4219		Arquivos de Gastroenterologia	1678-4219	No	2004-04-23T21:31:00Z	2004	yes
