NlmUniqueID	issn	sherpa_id	result	journal
	1477-4674	1406	JSON file OK - 	9015384
	2575-3126		JSON file OK - sherpa without items - 	101714112
	1559-7776	10921	JSON file OK - 	101269322
	2162-5239		JSON file OK - sherpa without items - 	0431420
	1550-7416	16180	JSON file OK - 	101223209
	1530-9932	16179	JSON file OK - 	100960111
	2366-0058	35942	JSON file OK - 	101674571
	1553-2712	6769	JSON file OK - 	9418450
	1938-808X	10295	JSON file OK - 	8904605
	1876-2867		JSON file OK - sherpa without items - 	101499145
	1545-7230	27949	JSON file OK - 	8917200
	1878-4046		JSON file OK - sherpa without items - 	9440159
	1520-4898	7760	JSON file OK - 	0157313
	1879-2057		JSON file OK - sherpa without items - 	1254476
	1545-5815	288	JSON file OK - 	9100813
	1944-8252	7761	JSON file OK - 	101504991
	2373-9878	31995	JSON file OK - 	101654670
	1554-8937	7762	JSON file OK - 	101282906
	1948-7193	7763	JSON file OK - 	101525337
	2373-8227	30804	JSON file OK - 	101654580
	1936-086X	7765	JSON file OK - 	101313589
	2379-3694	38411	JSON file OK - 	101669031
	2161-5063	21296	JSON file OK - 	101575075
	1399-6576	6770	JSON file OK - 	0370270
	1745-7270		JSON file OK - sherpa without items - 	101206716
	1734-154X	30716	JSON file OK - 	14520300R
	1509-409X		JSON file OK - sherpa without items - 	101194794
	1878-7568	172	JSON file OK - 	101233144
	2531-6745		JSON file OK - sherpa without items - 	101295064
	1572-8358	11753	JSON file OK - 	0421520
	1784-973X		JSON file OK - sherpa without items - 	0370570
	1580-3155	36687	JSON file OK - 	101247110
	0001-5458	33499	JSON file OK - 	0370571
	0001-5415		JSON file OK - sherpa without items - 	0407123
	1805-4404		JSON file OK - sherpa without items - 	0370301
	1678-2674		JSON file OK - sherpa without items - 	9103983
	2295-3337	6326	JSON file OK - 	0370306
	1333-9451	41203	JSON file OK - 	9425483
	2053-2733	29901	JSON file OK - 	101620182
	2052-5206	29902	JSON file OK - 	101609037
	2053-2296	29903	JSON file OK - 	101620313
	2059-7983	35453	JSON file OK - 	101676043
	2053-230X	26674	JSON file OK - 	101620319
	1938-2650	19886	JSON file OK - 	0370307
	1651-2057	13690	JSON file OK - 	0370310
	1581-2979		JSON file OK - sherpa without items - 	9422563
	1847-6538		JSON file OK - sherpa without items - 	9433781
	1432-5233	11754	JSON file OK - 	9200299
	1784-3227		JSON file OK - sherpa without items - 	0414075
	1421-9662	8971	JSON file OK - 	0141053
	1618-0372		JSON file OK - sherpa without items - 	0370320
	1840-2879		JSON file OK - sherpa without items - 	101587903
	1334-6253		JSON file OK - sherpa without items - 	101241032
	0125-9326		JSON file OK - sherpa without items - 	7901042
	0386-300X		JSON file OK - sherpa without items - 	0417611
	1646-0758	21341	JSON file OK - 	7906803
	1805-9694	39095	JSON file OK - 	9705947
	1588-2640	2090	JSON file OK - 	9434021
	2532-1900		JSON file OK - sherpa without items - 	9811169
	1689-0035		JSON file OK - sherpa without items - 	1246675
	0942-0940	11780	JSON file OK - 	0151000
	0065-1419		JSON file OK - sherpa without items - 	100962752
	2240-2993	23430	JSON file OK - 	0247035
	1600-0404	11840	JSON file OK - 	0370336
	1028-768X		JSON file OK - sherpa without items - 	9815355
	1432-0533	7403	JSON file OK - 	0412041
	2051-5960	26209	JSON file OK - 	101610673
	1601-5215	24382	JSON file OK - 	9612501
	1600-0412	6772	JSON file OK - 	0370343
	1852-4834		JSON file OK - sherpa without items - 	8610218
	1502-3850	753	JSON file OK - 	0370344
	1651-226X	754	JSON file OK - 	8709065
	1755-3768	6778	JSON file OK - 	101468102
	1755-3784		JSON file OK - sherpa without items - 	101485969
	1745-3682		JSON file OK - sherpa without items - 	101231512
	0001-6462		JSON file OK - sherpa without items - 	2985165R
	1745-3704		JSON file OK - sherpa without items - 	101244827
	2589-1294		JSON file OK - sherpa without items - 	9424806
	2306-4102		JSON file OK - sherpa without items - 	101190312
	1651-2251	756	JSON file OK - 	0370354
	0365-5237		JSON file OK - sherpa without items - 	0370355
	1827-675X		JSON file OK - sherpa without items - 	8213019
	2173-5735	21417	JSON file OK - 	101770938
	1651-2227	6773	JSON file OK - 	9205968
	1896-1851	26384	JSON file OK - 	9301947
	1846-9558	26385	JSON file OK - 	9303678
	1745-7254	7593	JSON file OK - 	100956087
	1748-1716	3790	JSON file OK - 	101262545
	1600-0447	11850	JSON file OK - 	0370364
	1600-5473		JSON file OK - sherpa without items - 	0370365
	1873-6297		JSON file OK - sherpa without items - 	0370366
	1600-0455	6779	JSON file OK - 	8706123
	0303-464X		JSON file OK - sherpa without items - 	0431702
	1898-9594		JSON file OK - sherpa without items - 	101295615
	1873-6254		JSON file OK - sherpa without items - 	0370374
	0236-6290	2094	JSON file OK - 	8406376
	1751-0147	2203	JSON file OK - 	0370400
	1336-2305		JSON file OK - sherpa without items - 	0370401
	2173-5778		JSON file OK - sherpa without items - 	101777537
	1578-2735		JSON file OK - sherpa without items - 	100886502
	2173-5786	21418	JSON file OK - 	101771154
	1759-9873	1662	JSON file OK - 	9304117
	1747-4892		JSON file OK - sherpa without items - 	101553725
	1543-2777	12245	JSON file OK - 	8701671
	1873-6327		JSON file OK - sherpa without items - 	7603486
	1369-1600	872	JSON file OK - 	9604935
	1940-0640	20869	JSON file OK - 	101316917
	1360-0443	6774	JSON file OK - 	9304118
	0214-4840		JSON file OK - sherpa without items - 	9605506
	2162-397X	21814	JSON file OK - 	101567863
	1573-3289	16472	JSON file OK - 	8914574
	0301-5556		JSON file OK - sherpa without items - 	0407712
	1533-4031		JSON file OK - sherpa without items - 	9435676
	1878-0415		JSON file OK - sherpa without items - 	8409340
	0065-2164		JSON file OK - sherpa without items - 	0370413
	1616-8542		JSON file OK - sherpa without items - 	8307733
	2701-0198	39538	JSON file OK - 	101775319
	2212-4934		JSON file OK - sherpa without items - 	101572336
	2162-5557		JSON file OK - sherpa without items - 	0370416
	2162-5530		JSON file OK - sherpa without items - 	0240537
	1662-2839		JSON file OK - sherpa without items - 	0270063
	0065-2407		JSON file OK - sherpa without items - 	0370417
	1548-5609		JSON file OK - sherpa without items - 	101209214
	2162-9471		JSON file OK - sherpa without items - 	2985173R
	1899-5276		JSON file OK - sherpa without items - 	101138582
	1873-3727		JSON file OK - sherpa without items - 	8706645
	1544-0737		JSON file OK - sherpa without items - 	8802131
	1872-8294	1732	JSON file OK - 	8710523
	1931-4493		JSON file OK - sherpa without items - 	101285075
	2214-8019		JSON file OK - sherpa without items - 	0121103
	1043-4526		JSON file OK - sherpa without items - 	9001271
	0065-2660		JSON file OK - sherpa without items - 	0370421
	1561-9125		JSON file OK - sherpa without items - 	100971443
	1474-8231		JSON file OK - sherpa without items - 	101090746
	1573-1677	16364	JSON file OK - 	9612021
	2192-2659	21321	JSON file OK - 	101581613
	1557-8445		JSON file OK - sherpa without items - 	0370425
	1879-6974		JSON file OK - sherpa without items - 	100960029
	2162-5875		JSON file OK - sherpa without items - 	0370431
	1521-4095	229	JSON file OK - 	9885358
	1898-4002		JSON file OK - sherpa without items - 	101276222
	2162-5468		JSON file OK - sherpa without items - 	0117147
	1532-1843		JSON file OK - sherpa without items - 	9813115
	1536-0911	8705	JSON file OK - 	101125644
	2190-5215		JSON file OK - sherpa without items - 	101571545
	2156-5376	25273	JSON file OK - 	101540874
	1662-2847		JSON file OK - sherpa without items - 	0242534
	2163-6079		JSON file OK - sherpa without items - 	0370435
	1878-1926		JSON file OK - sherpa without items - 	0370436
	1197-8554		JSON file OK - sherpa without items - 	9104803
	1557-8925		JSON file OK - sherpa without items - 	9015397
	1522-1229	7389	JSON file OK - 	100913944
	1876-1631		JSON file OK - sherpa without items - 	101497281
	1662-2855		JSON file OK - sherpa without items - 	0101303
	2543-6031	41771	JSON file OK - 	101697329
	2523-3106	35191	JSON file OK - 	101734172
	2198-3844	31051	JSON file OK - 	101664569
	1538-8654	8707	JSON file OK - 	100911021
	1878-0555		JSON file OK - sherpa without items - 	0045335
	0095-4829		JSON file OK - sherpa without items - 	7501064
	1865-8652	16365	JSON file OK - 	8611864
	1557-8399		JSON file OK - sherpa without items - 	0370441
	2162-1934	37035	JSON file OK - 	101590593
	2375-6322		JSON file OK - sherpa without items - 	101654770
	1527-330X	193	JSON file OK - 	9707469
	1432-5241	16219	JSON file OK - 	7701756
	1729-0503		JSON file OK - sherpa without items - 	101149451
	1727-9445	12171	JSON file OK - 	101146510
	0974-5998	1910	JSON file OK - 	101255062
	2071-2936	19569	JSON file OK - 	101520860
	1118-4841		JSON file OK - sherpa without items - 	9712263
	1468-2834	1334	JSON file OK - 	0375655
	1872-9649	10457	JSON file OK - 	101128963
	1098-2337	13815	JSON file OK - 	7502265
	1945-4589	25549	JSON file OK - 	101508617
	1474-9726	80	JSON file OK - 	101130839
	1720-8319	27957	JSON file OK - 	101132995
	1473-0790	1008	JSON file OK - 	9808210
	1364-6915	4914	JSON file OK - 	9705773
	1300-0012		JSON file OK - sherpa without items - 	9426197
	1473-5571	8709	JSON file OK - 	8710219
	1573-3254	17044	JSON file OK - 	9712133
	1360-0451	42145	JSON file OK - 	8915313
	1943-2755		JSON file OK - sherpa without items - 	9002873
	1557-7449	146	JSON file OK - 	9607225
	1931-8405	1308	JSON file OK - 	8709376
	1742-6405	21402	JSON file OK - 	101237921
	1698-6997		JSON file OK - sherpa without items - 	101134876
	1532-6497		JSON file OK - sherpa without items - 	9312325
	1936-959X	10301	JSON file OK - 	8003708
	2329-4523	42146	JSON file OK - 	101631047
	2150-7759	291	JSON file OK - 	101518076
	1546-3141		JSON file OK - sherpa without items - 	7708173
	1438-8820		JSON file OK - sherpa without items - 	0421406
	1873-6823		JSON file OK - sherpa without items - 	8502311
	1464-3502	1335	JSON file OK - 	8310684
	1358-6173		JSON file OK - sherpa without items - 	8804836
	1530-0277	6825	JSON file OK - 	7707242
	2169-4796		JSON file OK - sherpa without items - 	101594475
	1365-2036	81	JSON file OK - 	8707234
	1099-4831		JSON file OK - sherpa without items - 	9812842
	1578-1267	4858	JSON file OK - 	0370073
	1440-1592	3673	JSON file OK - 	9616296
	1398-9995	3704	JSON file OK - 	7804028
	1539-6304		JSON file OK - sherpa without items - 	9603640
	2632-3559	7204	JSON file OK - 	8110074
	1078-6791		JSON file OK - sherpa without items - 	9502013
	1868-596X	30707	JSON file OK - 	100953980
	1546-4156		JSON file OK - sherpa without items - 	8704771
	1552-5279	10547	JSON file OK - 	101231978
	1758-9193	2394	JSON file OK - 	101511643
	0002-726X	13789	JSON file OK - 	0414670
	1532-0650		JSON file OK - sherpa without items - 	1272646
	1097-6744		JSON file OK - sherpa without items - 	0370465
	1533-7731		JSON file OK - sherpa without items - 	100970957
	1521-0391	771	JSON file OK - 	9208821
	1938-2731	6419	JSON file OK - 	101082834
	1558-9137	14533	JSON file OK - 	9114917
	1536-0075	6161	JSON file OK - 	100898738
	1537-2197	24607	JSON file OK - 	0370467
	1879-1913		JSON file OK - sherpa without items - 	0207277
	1179-187X	18247	JSON file OK - 	100967755
	1941-5923		JSON file OK - sherpa without items - 	101489566
	1793-6853	9765	JSON file OK - 	7901431
	1179-1888	18248	JSON file OK - 	100895290
	2160-0562		JSON file OK - sherpa without items - 	0100626
	1938-3207	6233	JSON file OK - 	0376027
	1537-453X		JSON file OK - sherpa without items - 	8207754
	1943-7722	30983	JSON file OK - 	0370470
	1573-2770	14336	JSON file OK - 	0364535
	1937-710X	10922	JSON file OK - 	9211547
	0894-8275		JSON file OK - sherpa without items - 	8806701
	1533-0311	8939	JSON file OK - 	7911005
	1932-149X		JSON file OK - sherpa without items - 	101291100
	1097-9891	1009	JSON file OK - 	7502510
	1532-8171	4725	JSON file OK - 	8309942
	1476-6256	317	JSON file OK - 	7910653
	1533-404X	8940	JSON file OK - 	8108948
	1572-0241	24272	JSON file OK - 	0421030
	1545-7214	8941	JSON file OK - 	9309609
	1945-7359	6212	JSON file OK - 	9602338
	2168-6602	10305	JSON file OK - 	8701680
	1535-2900	13505	JSON file OK - 	9503023
	1096-8652	4669	JSON file OK - 	7610369
	1938-2715	198	JSON file OK - 	9008229
	1520-6300	4671	JSON file OK - 	8915029
	1537-6605	6578	JSON file OK - 	0370475
	1941-7225	1621	JSON file OK - 	8803676
	1097-0274	4672	JSON file OK - 	8101110
	1527-3296		JSON file OK - sherpa without items - 	8004854
	1944-7558	11086	JSON file OK - 	101492916
	1523-6838		JSON file OK - sherpa without items - 	8110075
	0098-8588	38516	JSON file OK - 	7509572
	1936-2692	14665	JSON file OK - 	9613960
	1555-7162		JSON file OK - sherpa without items - 	0267200
	1552-4833	4673	JSON file OK - 	101235741
	1552-485X	4674	JSON file OK - 	101235742
	1552-4876	4675	JSON file OK - 	101235745
	1555-824X	6420	JSON file OK - 	9300756
	1538-2990	8943	JSON file OK - 	0370506
	1557-9891	6421	JSON file OK - 	101287723
	1421-9670	8972	JSON file OK - 	8109361
	1538-7488	8713	JSON file OK - 	0372646
	1097-6868		JSON file OK - sherpa without items - 	0370476
	2589-9333		JSON file OK - sherpa without items - 	101746609
	1943-7676	11539	JSON file OK - 	7705978
	1879-1891		JSON file OK - sherpa without items - 	0370500
	1097-6752		JSON file OK - sherpa without items - 	8610224
	1939-0025	29535	JSON file OK - 	0400640
	1532-818X		JSON file OK - sherpa without items - 	8000029
	1525-2191	10325	JSON file OK - 	0370502
	1098-8785	10703	JSON file OK - 	8405212
	1553-6467		JSON file OK - sherpa without items - 	0372650
	1096-8644		JSON file OK - sherpa without items - 	0400654
	1537-7385	8714	JSON file OK - 	8803677
	1522-1563	7390	JSON file OK - 	100901225
	1522-1555	23789	JSON file OK - 	100901226
	1522-1547	7392	JSON file OK - 	100901227
	1522-1539	7393	JSON file OK - 	100901228
