NlmUniqueID	additional_oa_fee	oa_status
0001027	yes	hybrid
0004041	yes	hybrid
0004047	yes	hybrid
0005735	yes	hybrid
0006252	yes	hybrid
0006723	yes	hybrid
0006761	yes	hybrid
0006777	yes	hybrid
0010505	yes	hybrid
0012737	yes	hybrid
0014030	yes	hybrid
0014052	yes	hybrid
0014067	yes	hybrid
0014171	yes	hybrid
0014207	yes	hybrid
0020713	yes	hybrid
0021406	yes	hybrid
0022623	yes	hybrid
0024046	yes	hybrid
0031164	yes	hybrid
0035623	yes	hybrid
0035665	yes	hybrid
0042033	yes	hybrid
0042124	yes	hybrid
0043125	yes	hybrid
0043306	yes	hybrid
0043312	yes	hybrid
0043535	yes	hybrid
0043541	yes	hybrid
0045312	yes	hybrid
0045335	yes	hybrid
0045377	yes	hybrid
0045503	yes	hybrid
0046021	yes	hybrid
0046052	yes	hybrid
0047061	yes	hybrid
0047103	yes	hybrid
0050222	yes	hybrid
0050303	yes	hybrid
0050452	yes	hybrid
0052457	yes	hybrid
0052631	yes	hybrid
0053006	yes	hybrid
0053252	yes	hybrid
0054655	yes	hybrid
0055107	yes	hybrid
0057202	yes	hybrid
0060105	yes	hybrid
0060450	yes	hybrid
0062647	yes	hybrid
0066751	yes	hybrid
0067206	yes	hybrid
0072416	yes	hybrid
0074243	yes	hybrid
0075674	yes	hybrid
0077340	yes	hybrid
0077427	yes	hybrid
0100626	yes	hybrid
0100714	yes	hybrid
0100725	yes	hybrid
0101032	yes	hybrid
0102444	yes	hybrid
0103130	yes	hybrid
0103146	yes	hybrid
0103374	yes	hybrid
0105072	yes	hybrid
0107305	yes	hybrid
0110674	yes	hybrid
0111052	yes	hybrid
0111356	yes	hybrid
0112037	yes	hybrid
0112725	yes	hybrid
0113724	yes	hybrid
0116711	yes	hybrid
0116744	yes	hybrid
0123703	yes	hybrid
0126611	yes	hybrid
0132144	yes	hybrid
0133660	yes	hybrid
0135054	yes	hybrid
0135232	yes	hybrid
0136553	yes	hybrid
0137162	yes	hybrid
0137356	yes	hybrid
0141053	yes	hybrid
0141233	yes	hybrid
0142657	yes	hybrid
0144032	yes	hybrid
0144042	yes	hybrid
0144554	yes	hybrid
0144731	yes	hybrid
0145600	yes	hybrid
0147621	yes	hybrid
0147763	yes	hybrid
0150372	yes	hybrid
0150472	yes	hybrid
0150760	yes	hybrid
0151000	yes	hybrid
0151115	yes	hybrid
0151434	yes	hybrid
0151504	yes	hybrid
0151620	yes	hybrid
0152016	yes	hybrid
0153605	yes	hybrid
0154720	yes	hybrid
0155157	yes	hybrid
0157312	yes	hybrid
0157313	yes	hybrid
0157375	yes	hybrid
0164074	yes	hybrid
0165035	yes	hybrid
0165053	yes	hybrid
0173225	yes	hybrid
0173320	yes	hybrid
0174752	yes	hybrid
0174763	yes	hybrid
0175411	yes	hybrid
0177346	yes	hybrid
0177722	yes	hybrid
0200525	yes	hybrid
0202503	yes	hybrid
0203706	yes	hybrid
0203727	yes	hybrid
0204522	yes	hybrid
0204634	yes	hybrid
0207224	yes	hybrid
0207277	yes	hybrid
0210174	yes	hybrid
0210453	yes	hybrid
0211301	yes	hybrid
0213155	yes	hybrid
0213264	yes	hybrid
0214055	yes	hybrid
0214745	yes	hybrid
0215166	yes	hybrid
0217132	yes	hybrid
0217410	yes	hybrid
0217440	yes	hybrid
0217764	yes	hybrid
0222526	yes	hybrid
0222643	yes	hybrid
0224131	yes	hybrid
0226040	yes	hybrid
0226661	yes	hybrid
0227276	yes	hybrid
0230027	yes	hybrid
0231335	yes	hybrid
0231714	yes	hybrid
0234135	yes	hybrid
0234361	yes	hybrid
0235266	yes	hybrid
0236217	yes	hybrid
0236512	yes	hybrid
0236760	yes	hybrid
0241111	yes	hybrid
0242543	yes	hybrid
0243532	yes	hybrid
0243704	yes	hybrid
0243705	yes	hybrid
0244160	yes	hybrid
0245075	yes	hybrid
0245331	yes	hybrid
0246127	yes	hybrid
0247035	yes	hybrid
0247660	yes	hybrid
0250641	yes	hybrid
0251711	yes	hybrid
0252052	yes	hybrid
0253664	yes	hybrid
0254463	yes	hybrid
0256422	yes	hybrid
0260231	yes	hybrid
0260316	yes	hybrid
0260564	yes	hybrid
0261412	yes	hybrid
0262321	yes	hybrid
0262322	yes	hybrid
0262521	yes	hybrid
0264620	yes	hybrid
0266262	yes	hybrid
0267200	yes	hybrid
0267442	yes	hybrid
0270707	yes	hybrid
0312020	yes	hybrid
0313225	yes	hybrid
0314024	yes	hybrid
0314524	yes	hybrid
0315061	yes	hybrid
0315073	yes	hybrid
0320626	yes	hybrid
0320657	yes	hybrid
0321213	yes	hybrid
0322067	yes	hybrid
0322116	yes	hybrid
0323431	yes	hybrid
0323470	yes	hybrid
0323767	yes	hybrid
0324055	yes	hybrid
0326264	yes	hybrid
0326377	yes	hybrid
0330057	yes	hybrid
0330167	yes	hybrid
0330500	yes	hybrid
0330501	yes	hybrid
0330666	yes	hybrid
0331266	yes	hybrid
0331777	yes	hybrid
0332173	yes	hybrid
0333506	yes	hybrid
0333601	yes	hybrid
0334721	yes	hybrid
0335405	yes	hybrid
0337330	yes	hybrid
0342017	yes	hybrid
0342367	yes	hybrid
0346653	yes	hybrid
0347227	yes	hybrid
0347631	yes	hybrid
0351014	yes	hybrid
0354343	yes	hybrid
0354422	yes	hybrid
0355501	yes	hybrid
0356504	yes	hybrid
0356657	yes	hybrid
0357245	yes	hybrid
0357443	yes	hybrid
0360051	yes	hybrid
0360342	yes	hybrid
0361031	yes	hybrid
0361055	yes	hybrid
0361512	yes	hybrid
0364220	yes	hybrid
0364456	yes	hybrid
0364535	yes	hybrid
0365263	yes	hybrid
0365304	yes	hybrid
0365307	yes	hybrid
0365332	yes	hybrid
0365337	yes	hybrid
0365646	yes	hybrid
0366151	yes	hybrid
0366372	yes	hybrid
0366543	yes	hybrid
0367033	yes	hybrid
0367050	yes	hybrid
0367541	yes	hybrid
0370033	yes	hybrid
0370121	yes	hybrid
0370270	yes	hybrid
0370306	yes	hybrid
0370307	yes	hybrid
0370320	yes	hybrid
0370336	yes	hybrid
0370344	yes	hybrid
0370354	yes	hybrid
0370364	yes	hybrid
0370374	yes	hybrid
0370436	yes	hybrid
0370465	yes	hybrid
0370467	yes	hybrid
0370470	yes	hybrid
0370473	yes	hybrid
0370475	yes	hybrid
0370476	yes	hybrid
0370500	yes	hybrid
0370502	yes	hybrid
0370506	yes	hybrid
0370507	yes	hybrid
0370521	yes	hybrid
0370524	yes	hybrid
0370525	yes	hybrid
0370534	yes	hybrid
0370535	yes	hybrid
0370536	yes	hybrid
0370543	yes	hybrid
0370570	yes	hybrid
0370571	yes	hybrid
0370612	yes	hybrid
0370616	yes	hybrid
0370623	yes	hybrid
0370625	yes	hybrid
0370626	yes	hybrid
0370635	yes	hybrid
0370636	yes	hybrid
0370647	yes	hybrid
0370657	yes	hybrid
0370667	yes	hybrid
0370707	yes	hybrid
0370711	yes	hybrid
0370712	yes	hybrid
0370713	yes	hybrid
0370723	yes	hybrid
0370735	yes	hybrid
0370740	yes	hybrid
0370760	yes	hybrid
0372307	yes	hybrid
0372347	yes	hybrid
0372354	yes	hybrid
0372355	yes	hybrid
0372361	yes	hybrid
0372377	yes	hybrid
0372403	yes	hybrid
0372406	yes	hybrid
0372430	yes	hybrid
0372434	yes	hybrid
0372477	yes	hybrid
0372516	yes	hybrid
0372525	yes	hybrid
0372526	yes	hybrid
0372537	yes	hybrid
0372541	yes	hybrid
0372544	yes	hybrid
0372547	yes	hybrid
0372553	yes	hybrid
0372606	yes	hybrid
0372617	yes	hybrid
0372625	yes	hybrid
0372646	yes	hybrid
0372652	yes	hybrid
0372707	yes	hybrid
0372712	yes	hybrid
0372714	yes	hybrid
0372725	yes	hybrid
0372741	yes	hybrid
0372755	yes	hybrid
0372762	yes	hybrid
0372763	yes	hybrid
0372764	yes	hybrid
0372772	yes	hybrid
0373007	yes	hybrid
0373027	yes	hybrid
0373124	yes	hybrid
0373125	yes	hybrid
0373220	yes	hybrid
0373224	yes	hybrid
0373226	yes	hybrid
0374236	yes	hybrid
0374630	yes	hybrid
0374636	yes	hybrid
0374655	yes	hybrid
0374660	yes	hybrid
0374672	yes	hybrid
0374716	yes	hybrid
0374720	yes	hybrid
0374726	yes	hybrid
0374731	yes	hybrid
0374750	yes	hybrid
0374755	yes	hybrid
0375011	yes	hybrid
0375037	yes	hybrid
0375040	yes	hybrid
0375267	yes	hybrid
0375327	yes	hybrid
0375356	yes	hybrid
0375360	yes	hybrid
0375361	yes	hybrid
0375362	yes	hybrid
0375363	yes	hybrid
0375370	yes	hybrid
0375373	yes	hybrid
0375400	yes	hybrid
0375402	yes	hybrid
0375403	yes	hybrid
0375404	yes	hybrid
0375410	yes	hybrid
0375521	yes	hybrid
0375566	yes	hybrid
0375655	yes	hybrid
0375672	yes	hybrid
0376027	yes	hybrid
0376166	yes	hybrid
0376331	yes	hybrid
0376332	yes	hybrid
0376333	yes	hybrid
0376334	yes	hybrid
0376340	yes	hybrid
0376342	yes	hybrid
0376343	yes	hybrid
0376362	yes	hybrid
0376363	yes	hybrid
0376364	yes	hybrid
0376370	yes	hybrid
0376372	yes	hybrid
0376374	yes	hybrid
0376404	yes	hybrid
0376405	yes	hybrid
0376412	yes	hybrid
0376422	yes	hybrid
0376424	yes	hybrid
0376425	yes	hybrid
0376427	yes	hybrid
0376442	yes	hybrid
0376465	yes	hybrid
0376470	yes	hybrid
0376473	yes	hybrid
0376475	yes	hybrid
0376476	yes	hybrid
0376505	yes	hybrid
0376507	yes	hybrid
0376542	yes	hybrid
0376573	yes	hybrid
0376574	yes	hybrid
0376600	yes	hybrid
0376601	yes	hybrid
0376617	yes	hybrid
0400640	yes	hybrid
0400666	yes	hybrid
0400675	yes	hybrid
0400721	yes	hybrid
0400763	yes	hybrid
0400764	yes	hybrid
0400767	yes	hybrid
0400773	yes	hybrid
0401006	yes	hybrid
0401007	yes	hybrid
0401052	yes	hybrid
0401057	yes	hybrid
0401060	yes	hybrid
0401067	yes	hybrid
0401075	yes	hybrid
0401101	yes	hybrid
0401121	yes	hybrid
0401126	yes	hybrid
0401131	yes	hybrid
0401132	yes	hybrid
0401133	yes	hybrid
0401141	yes	hybrid
0401147	yes	hybrid
0401152	yes	hybrid
0401220	yes	hybrid
0401223	yes	hybrid
0401224	yes	hybrid
0401233	yes	hybrid
0401257	yes	hybrid
0401260	yes	hybrid
