NlmUniqueID	embargo	oa_status
0001027	12	green
0004041	12	green
0004047	12	green
0005735	12	green
0006252	12	green
0006723	12	green
0006761	12	green
0006777	12	green
0010505	12	green
0012737	0	green
0014030	12	green
00140360R	0	green
0014052	12	green
0014067	12	green
0014133	12	green
0014162	24	green
0014171	0	green
0014207	12	green
0020713	12	green
0021406	12	green
0022623	0	green
0024046	0	green
0031164	12	green
0033370	12	green
0035665	0	green
0042005	0	green
0042033	12	green
0042124	12	green
0043125	12	green
0043306	12	green
0043312	12	green
0043535	12	green
0043541	0	green
0044652	12	green
0045312	12	green
0045335	12	green
0045377	12	green
0045503	12	green
0046021	12	green
0046052	12	green
0047061	12	green
0047103	6	green
0050222	12	green
0050303	24	green
0050452	12	green
0052457	6	green
0052631	12	green
0053006	12	green
0053252	12	green
0054655	0	green
0055107	12	green
0057202	12	green
0057664	0	green
0060105	12	green
0060450	12	green
0062647	12	green
0066127	12	green
0066751	12	green
0067206	12	green
0070014	6	green
0072416	12	green
0074243	12	green
0075674	12	green
0077340	0	green
0077427	12	green
0100626	12	green
0100714	6	green
0100725	12	green
0101032	12	green
0102444	12	green
0103130	0	green
0103146	12	green
0103314	0	green
0103374	0	green
0105072	12	green
0105454	12	green
0107305	24	green
0110672	0	green
0110674	12	green
0111052	0	green
0111356	0	green
0112037	0	green
0112040	0	green
0112725	0	green
0113724	0	green
0114365	12	green
0116711	12	green
0116717	0	green
0116744	12	green
0120300	12	green
0120775	12	green
0121103	12	green
0123703	12	green
0126611	12	green
0132144	12	green
0133660	12	green
0135054	0	green
0135232	12	green
0136553	0	green
0137162	12	green
0137356	0	green
0141053	0	green
0141233	0	green
0142167	12	green
0142657	12	green
0144032	0	green
0144042	12	green
0144554	6	green
0144731	0	green
0145600	12	green
0147621	12	green
0147763	6	green
0150372	12	green
0150472	0	green
0150760	0	green
0151000	12	green
0151115	6	green
0151434	12	green
0151504	12	green
0151620	0	green
0152016	0	green
0153605	12	green
0154720	12	green
0155157	12	green
0157312	0	green
0157313	12	green
0157375	12	green
0164074	12	green
0165035	12	green
0165053	12	green
0171671	0	green
0173225	12	green
0173320	12	green
0174752	0	green
0174763	12	green
0175411	12	green
0177346	0	green
0177625	12	green
