NlmUniqueID	oa_sherpa
9015384	yes
101269322	yes
101223209	yes
100960111	yes
101674571	yes
9418450	yes
8904605	yes
8917200	yes
0157313	yes
9100813	yes
101504991	yes
101654670	yes
101282906	yes
101525337	yes
101654580	yes
101313589	yes
101669031	yes
101575075	yes
0370270	yes
14520300R	yes
101233144	yes
0421520	yes
101247110	yes
0370571	yes
0370306	yes
9425483	yes
101620182	yes
101609037	yes
101620313	yes
101676043	yes
101620319	yes
0370307	yes
0370310	yes
9200299	yes
0141053	yes
7906803	yes
9705947	yes
9434021	yes
0151000	yes
0247035	yes
0370336	yes
0412041	yes
101610673	yes
9612501	yes
0370343	yes
0370344	yes
8709065	yes
101468102	yes
0370354	yes
101770938	yes
9205968	yes
9301947	yes
9303678	yes
100956087	yes
101262545	yes
0370364	yes
8706123	yes
8406376	yes
0370400	yes
101771154	yes
9304117	yes
8701671	yes
9604935	yes
101316917	yes
9304118	yes
101567863	yes
8914574	yes
101775319	yes
8710523	yes
9612021	yes
101581613	yes
9885358	yes
101125644	yes
101540874	yes
100913944	yes
101697329	yes
101734172	yes
101664569	yes
100911021	yes
8611864	yes
101590593	yes
9707469	yes
7701756	yes
101146510	yes
101255062	yes
101520860	yes
0375655	yes
101128963	yes
7502265	yes
101508617	yes
101130839	yes
101132995	yes
9808210	yes
9705773	yes
8710219	yes
9712133	yes
8915313	yes
9607225	yes
8709376	yes
101237921	yes
8003708	yes
101631047	yes
101518076	yes
8310684	yes
7707242	yes
8707234	yes
0370073	yes
9616296	yes
7804028	yes
8110074	yes
100953980	yes
101231978	yes
101511643	yes
0414670	yes
9208821	yes
101082834	yes
9114917	yes
100898738	yes
0370467	yes
100967755	yes
7901431	yes
100895290	yes
0376027	yes
0370470	yes
0364535	yes
9211547	yes
7911005	yes
7502510	yes
8309942	yes
7910653	yes
8108948	yes
0421030	yes
9309609	yes
9602338	yes
8701680	yes
9503023	yes
7610369	yes
9008229	yes
8915029	yes
0370475	yes
8803676	yes
8101110	yes
101492916	yes
7509572	yes
9613960	yes
101235741	yes
101235742	yes
101235745	yes
9300756	yes
0370506	yes
101287723	yes
8109361	yes
0372646	yes
7705978	yes
0400640	yes
0370502	yes
8405212	yes
8803677	yes
100901225	yes
100901226	yes
100901227	yes
100901228	yes
100901229	yes
100901230	yes
100901990	yes
8108949	yes
0370512	yes
0372630	yes
0110672	yes
1254074	yes
8912860	yes
8917225	yes
9421642	yes
9114726	yes
7609541	yes
7707904	yes
9441347	yes
100968638	yes
0370507	yes
0375011	yes
2984688R	yes
0370521	yes
101649265	yes
0364220	yes
14730560R	yes
9200312	yes
9433802	yes
101765626	yes
101652401	yes
0342017	yes
0370524	yes
0370525	yes
101134327	yes
0370536	yes
101519733	yes
8511078	yes
0372652	yes
9109478	yes
7704218	yes
101292775	yes
101392205	yes
101154140	yes
0423506	yes
101585129	yes
1310650	yes
101273663	yes
1300217	yes
0370543	yes
9814575	yes
0203706	yes
9011409	yes
9814573	yes
8605704	yes
101083072	yes
100956805	yes
101303270	yes
101231417	yes
101600811	yes
8510246	yes
2984690R	yes
0361512	yes
0372347	yes
9815987	yes
0324055	yes
101152152	yes
101623278	yes
7702013	yes
8406611	yes
101167762	yes
101620864	yes
9107334	yes
0404024	yes
0416661	yes
7708044	yes
0372351	yes
8906388	yes
7506858	yes
7707449	yes
9607443	yes
8913398	yes
8105511	yes
9007735	yes
0407300	yes
101585484	yes
8106337	yes
2985176R	yes
7805336	yes
7506860	yes
101536246	yes
0372355	yes
8507355	yes
0372361	yes
0372354	yes
9420840	yes
8703941	yes
101698454	yes
101508602	yes
101614024	yes
2985150R	yes
9600627	yes
101574034	yes
101235325	yes
0372367	yes
101561951	yes
0117605	yes
100911346	yes
8309206	yes
2985151R	yes
0372370	yes
7804039	yes
8209988	yes
101275111	yes
7607088	yes
15040080R	yes
0370600	yes
0372373	yes
101140127	yes
0372374	yes
8006431	yes
101625721	yes
7809992	yes
0372377	yes
9709920	yes
101265649	yes
9100823	yes
8102988	yes
101462262	yes
0315061	yes
101585411	yes
100888899	yes
9009212	yes
9815705	yes
0372625	yes
9212242	yes
101086634	yes
0372403	yes
8803400	yes
9712129	yes
8208561	yes
101537732	yes
7605801	yes
101150314	yes
100888796	yes
8406612	yes
101584082	yes
101584990	yes
8901557	yes
101264333	yes
101502957	yes
9712383	yes
9306253	yes
0372406	yes
8500246	yes
101298363	yes
101222433	yes
0372430	yes
101777538	yes
101465655	yes
9004255	yes
8000462	yes
0372434	yes
101220684	yes
9501297	yes
0357245	yes
101282564	yes
8710213	yes
0114365	yes
8501752	yes
9308247	yes
1260766	yes
0410427	yes
9011043	yes
101318988	yes
7607091	yes
9421356	yes
0330167	yes
8000036	yes
9510153	yes
1273516	yes
9504451	yes
0417615	yes
7506870	yes
9815663	yes
101142614	yes
0373100	yes
9505803	yes
101518086	yes
101154438	yes
101623795	yes
101594777	yes
8915031	yes
9433814	yes
7802778	yes
101476585	yes
9204109	yes
101241430	yes
101583622	yes
8708538	yes
101506757	yes
9503417	yes
100942132	yes
101506753	yes
8900600	yes
101507115	yes
101151468	yes
9431219	yes
8917250	yes
101088083	yes
9111075	yes
9312707	yes
100901315	yes
101495384	yes
9606930	yes
8504574	yes
9207852	yes
0370612	yes
100888004	yes
8214381	yes
101123037	yes
9305903	yes
0001027	yes
0111052	yes
9611095	yes
15420200R	yes
0370616	yes
101727782	yes
9808874	yes
0135232	yes
9613603	yes
9713494	yes
101461858	yes
101128967	yes
8900070	yes
101265188	yes
8210638	yes
101208422	yes
0360342	yes
101245751	yes
7808666	yes
9418292	yes
0251711	yes
8804264	yes
7803043	yes
8914585	yes
8302411	yes
9013016	yes
7703854	yes
101244316	yes
0372477	yes
8404861	yes
101149327	yes
101507616	yes
7909914	yes
101631218	yes
101512484	yes
8606068	yes
0126611	yes
2984726R	yes
9610305	yes
100970605	yes
7506897	yes
0370623	yes
0376536	yes
9806362	yes
9010319	yes
9100834	yes
101500303	yes
9705305	yes
8008281	yes
8510851	yes
8704792	yes
101521964	yes
8807441	yes
9200331	yes
100930043	yes
101292902	yes
101275679	yes
101544020	yes
8108529	yes
9700112	yes
7502533	yes
101258412	yes
101738236	yes
101247722	yes
101578018	yes
0375566	yes
0207224	yes
9308271	yes
9815758	yes
0414576	yes
101548963	yes
7911509	yes
7708048	yes
100892849	yes
101312535	yes
9606000	yes
101593571	yes
101135325	yes
8610241	yes
101147518	yes
8909524	yes
101285195	yes
9104021	yes
100887374	yes
101675002	yes
101600173	yes
1262533	yes
9208478	yes
0370625	yes
101518829	yes
101472371	yes
101596414	yes
1303703	yes
7911226	yes
0403171	yes
0370626	yes
0372525	yes
101507284	yes
101088505	yes
0372526	yes
9205717	yes
8102797	yes
101609191	yes
100897327	yes
9107378	yes
8306785	yes
8403708	yes
8609465	yes
7502021	yes
8510274	yes
101265833	yes
8008051	yes
8506292	yes
100883596	yes
8302042	yes
101701004	yes
100935741	yes
101722685	yes
100886721	yes
7603509	yes
101568469	yes
9102551	yes
9301454	yes
9606438	yes
8402040	yes
8708558	yes
100968535	yes
100965194	yes
101190720	yes
101088663	yes
100967800	yes
100968539	yes
101775613	yes
100968543	yes
101088676	yes
100967792	yes
100968547	yes
101775394	yes
100965258	yes
100968548	yes
101088677	yes
100966980	yes
100968551	yes
101190723	yes
101088679	yes
101088680	yes
101319628	yes
100968553	yes
101088682	yes
100968545	yes
100966981	yes
101741148	yes
100968565	yes
100967793	yes
100968555	yes
100966986	yes
100967802	yes
101088684	yes
101088685	yes
100967804	yes
101590449	yes
100967807	yes
100967799	yes
100968559	yes
101627676	yes
100968562	yes
100968563	yes
101462768	yes
100968567	yes
100968571	yes
101249759	yes
101088690	yes
101526291	yes
101719009	yes
101685275	yes
101745500	yes
101761581	yes
101552874	yes
101641391	yes
101660690	yes
101710381	yes
101638061	yes
101546984	yes
101715577	yes
101565123	yes
101222431	yes
101599229	yes
8702459	yes
101200947	yes
7513219	yes
0372541	yes
9309208	yes
0370635	yes
7503323	yes
8105533	yes
9815827	yes
0004041	yes
8308022	yes
0370636	yes
9005323	yes
0372544	yes
9605409	yes
0144554	yes
101257109	yes
0004047	yes
8800054	yes
9212059	yes
0372547	yes
0421041	yes
7502536	yes
0342367	yes
0373124	yes
0373125	yes
8105534	yes
0373126	yes
0432520	yes
0372553	yes
0376542	yes
15740290R	yes
101137600	yes
0372537	yes
101570837	yes
0151620	yes
8218014	yes
101550313	yes
101300405	yes
8710358	yes
7506220	yes
9216781	yes
101282001	yes
8903034	yes
9716507	yes
101624623	yes
101615124	yes
100888201	yes
100927353	yes
8111104	yes
8801277	yes
9505539	yes
101260777	yes
100912837	yes
101528229	yes
0072416	yes
2984715R	yes
0046021	yes
0372557	yes
0141233	yes
0401404	yes
7507052	yes
101181368	yes
0370647	yes
7905481	yes
9208482	yes
101130981	yes
