NlmUniqueID	BroadJournalHeading	sherpa_id_x	sherpa_has_oa_path	embargo	sherpa_id_y	embargo_published_version	embargo_accepted_version	sherpa_oa_green	sherpa_id	additional_oa_fee	sherpa_oa_hybrid	DOAJ_Seal	DOAJ
9015384	History of Medicine	1406.0	yes	24.0	1406.0		24.0	yes	1406.0	yes	hybrid or gold		
101637720	Anesthesiology												
101714112	Anesthesiology												
101269322	Critical Care	10921.0	yes										
101269322	Nursing	10921.0	yes										
9508191	Nursing												
9009969	Critical Care												
9009969	Nursing												
7708172	Dentistry												
0431420	Anesthesiology												
0431420	Nursing												
8207766	Nephrology												
8207766	Nursing												
8608669	Nursing												
8608669	Occupational Medicine												
9206330	Health Services												
101223209	Drug Therapy	16180.0	yes	12.0	16180.0		12.0	yes	16180.0	yes	hybrid or gold		
101223209	Pharmacology	16180.0	yes	12.0	16180.0		12.0	yes	16180.0	yes	hybrid or gold		
100897065	Drug Therapy												
100897065	Pharmacology												
100960111	Pharmacology	16179.0	yes	12.0	16179.0		12.0	yes	16179.0	yes	hybrid or gold		
1251052	Nursing												
9303672	Diagnostic Imaging												
9303672	Gastroenterology												
101674571	Diagnostic Imaging	35942.0	yes	12.0	35942.0		12.0	yes	35942.0	yes	hybrid or gold		
101674571	Gastroenterology	35942.0	yes	12.0	35942.0		12.0	yes	35942.0	yes	hybrid or gold		
14480310R	History of Medicine												
14480310R	Science												
9112807	Nursing												
9418450	Emergency Medicine	6769.0	yes	12.0	6769.0		12.0	yes	6769.0	yes	hybrid or gold		
7703609	Health Services												
8904605	Education	10295.0	yes	0.0	10295.0	0.0	12.0	yes	10295.0	yes	hybrid or gold		
9114562	Nursing												
101499145	Pediatrics	1715.0	yes	12.0	1715.0		12.0	yes	1715.0	yes	hybrid or gold		
14490460R	General Surgery												
8917200	Psychiatry	27949.0	yes	12.0	27949.0		12.0	yes	27949.0	yes	hybrid or gold		
9440159	Radiology	1716.0	yes	12.0	1716.0		12.0	yes	1716.0	yes	hybrid or gold		
7503275	Dentistry												
14510400R	Biology												
0157313	Chemistry	7760.0	yes	12.0	7760.0		12.0	yes	7760.0	yes	hybrid or gold		
1254476	Traumatology	165.0	yes	12.0	165.0		12.0	yes	165.0	yes	hybrid or gold		
9305090	Emergency Medicine												
9305090	Nursing												
9305090	Traumatology												
9100813	Ethics	288.0	yes	12.0	288.0		12.0	yes	288.0	yes	hybrid or gold		
9104824	Medicine												
0373054	Medicine												
101729147	Biomedical Engineering	39490.0	yes	12.0	39490.0		12.0	yes	39490.0	yes	hybrid or gold		
101729147	Biotechnology	39490.0	yes	12.0	39490.0		12.0	yes	39490.0	yes	hybrid or gold		
101504991	Biomedical Engineering	7761.0	yes	12.0	7761.0		12.0	yes	7761.0	yes	hybrid or gold		
101504991	Biotechnology	7761.0	yes	12.0	7761.0		12.0	yes	7761.0	yes	hybrid or gold		
101654670	Biomedical Engineering	31995.0	yes	12.0	31995.0		12.0	yes	31995.0	yes	hybrid or gold		
101654670	Biotechnology	31995.0	yes	12.0	31995.0		12.0	yes	31995.0	yes	hybrid or gold		
101282906	Biochemistry	7762.0	yes	12.0	7762.0		12.0	yes	7762.0	yes	hybrid or gold		
101282906	Biology	7762.0	yes	12.0	7762.0		12.0	yes	7762.0	yes	hybrid or gold		
101525337	Neurology	7763.0	yes	12.0	7763.0		12.0	yes	7763.0	yes	hybrid or gold		
101540531	Chemistry												
101654580	Anti-Infective Agents	30804.0	yes	12.0	30804.0		12.0	yes	30804.0	yes	hybrid or gold		
101654580	Drug Therapy	30804.0	yes	12.0	30804.0		12.0	yes	30804.0	yes	hybrid or gold		
101654580	Microbiology	30804.0	yes	12.0	30804.0		12.0	yes	30804.0	yes	hybrid or gold		
101574672	Chemistry	21294.0	yes	12.0	21294.0		12.0	yes	21294.0	yes	hybrid or gold		
101313589	Nanotechnology	7765.0	yes	12.0	7765.0		12.0	yes	7765.0	yes	hybrid or gold		
101669031	Biotechnology	38411.0	yes	12.0	38411.0		12.0	yes	38411.0	yes	hybrid or gold		
101669031	Chemistry Techniques, Analytical	38411.0	yes	12.0	38411.0		12.0	yes	38411.0	yes	hybrid or gold		
101575075	Biotechnology	21296.0	yes	12.0	21296.0		12.0	yes	21296.0	yes	hybrid or gold		
101575075	Molecular Biology	21296.0	yes	12.0	21296.0		12.0	yes	21296.0	yes	hybrid or gold		
0400662	Neurology												
0400662	Physiology												
8300028	Medicine												
0370567	Allergy and Immunology												
0340732	Anesthesiology												
0421022	Anesthesiology												
0370270	Anesthesiology	6770.0	yes	12.0	6770.0		12.0	yes	6770.0	yes	hybrid or gold		
0370271	Anesthesiology												
9432542	Anesthesiology												
101214918	Anesthesiology												
0370272	Anatomy												
0370273	Anatomy												
7801158	Genetics, Medical												
9890631	Aerospace Medicine												
8307581	Physical and Rehabilitation Medicine												
0067725	Biochemistry												
0067725	Biophysics												
8701158	Biochemistry												
8701158	Biophysics												
101206716	Biochemistry												
101206716	Biophysics												
14520300R	Biochemistry	30716.0	yes									No	yes
101194794	Biomedical Engineering												
101194794	Physiology												
0370274	Biology												
1246764	Biochemistry												
1246764	Biology												
8404358	Biology												
0370275	Biology												
0370275	Medicine												
0370276	Biology												
0370276	Medicine												
101233144	Biomedical Engineering	172.0	yes	12.0	172.0		12.0	yes	172.0	yes	hybrid or gold		
101295064	Medicine												
8106323	Medicine												
0421520	Biology	11753.0	yes	12.0	11753.0		12.0	yes	11753.0	yes	hybrid or gold		
0370300	Neoplasms												
0370570	Cardiology	32978.0	yes	12.0	32978.0		12.0	yes	32978.0	yes	hybrid or gold		
0376316	Cardiology												
0421263	Chemistry												
9012772	Biochemistry												
9012772	Chemistry												
0421761	Chemistry												
0421265	Biochemistry												
0421265	Chemistry												
101247110	Chemistry	36687.0	yes	0.0	36687.0	0.0		yes				Yes	yes
2984283R	General Surgery												
