NlmUniqueID	MeshHeading	sherpa_id_x	sherpa_has_oa_path	embargo	sherpa_id_y	embargo_published_version	embargo_accepted_version	sherpa_oa_green	sherpa_id	additional_oa_fee	sherpa_oa_hybrid
9015384	History	1406.0	yes	24.0	1406.0		24.0	yes	1406.0	yes	hybrid or gold
9015384	United Kingdom	1406.0	yes	24.0	1406.0		24.0	yes	1406.0	yes	hybrid or gold
101637720	Anesthesiology										
101714112	Anesthesiology										
101269322	Critical Care	10921.0	yes								
101269322	Nursing Care	10921.0	yes								
9508191	Critical Care										
9508191	Nursing Care										
9009969	Critical Care										
9009969	Nursing Care										
7708172	Publishing										
0431420	Anesthesiology										
0431420	Nursing										
8207766	Kidney Diseases										
8207766	Kidney Transplantation										
8207766	Renal Dialysis										
8608669	Occupational Health Nursing										
9206330	Managed Care Programs										
9206330	Preferred Provider Organizations										
9206330	United States										
101223209	Drug Therapy	16180.0	yes	12.0	16180.0		12.0	yes	16180.0	yes	hybrid or gold
101223209	Pharmaceutical Preparations	16180.0	yes	12.0	16180.0		12.0	yes	16180.0	yes	hybrid or gold
101223209	Technology, Pharmaceutical	16180.0	yes	12.0	16180.0		12.0	yes	16180.0	yes	hybrid or gold
100897065	Drug Therapy										
100897065	Pharmaceutical Preparations										
100897065	Technology, Pharmaceutical										
100960111	Biopharmaceutics	16179.0	yes	12.0	16179.0		12.0	yes	16179.0	yes	hybrid or gold
100960111	Dosage Forms	16179.0	yes	12.0	16179.0		12.0	yes	16179.0	yes	hybrid or gold
100960111	Drug Design	16179.0	yes	12.0	16179.0		12.0	yes	16179.0	yes	hybrid or gold
100960111	Drug Evaluation	16179.0	yes	12.0	16179.0		12.0	yes	16179.0	yes	hybrid or gold
100960111	Pharmaceutical Preparations	16179.0	yes	12.0	16179.0		12.0	yes	16179.0	yes	hybrid or gold
1251052	Alberta										
1251052	Nursing										
1251052	Societies, Nursing										
14480040R	Medicine										
9303672	Abdomen										
9303672	Diagnostic Imaging										
9303672	Gastrointestinal Diseases										
9303672	Urologic Diseases										
101674571	Abdomen	35942.0	yes	12.0	35942.0		12.0	yes	35942.0	yes	hybrid or gold
