NlmUniqueID	embargo	license	conditions	article_version	sherpa_created	sherpa_last_modified	sherpa_id	embargo_published_version	embargo_accepted_version
9015384	24		Published source must be acknowledged ; Must link to published article with DOI ; Set phrase to accompany archived copy (see policy)	accepted	2010-07-15 16:04:39	2022-07-26 10:25:23	1406		24.0
101223209	12	bespoke_license	Published source must be acknowledged ; Must link to publisher version with DOI ; Post-prints are subject to Springer Nature re-use terms	accepted	2010-09-15 13:16:19	2023-01-05 14:55:40	16180		12.0
100960111	12	bespoke_license	Published source must be acknowledged ; Must link to publisher version with DOI ; Post-prints are subject to Springer Nature re-use terms	accepted	2010-09-15 13:16:19	2023-01-05 14:55:40	16179		12.0
101674571	12	bespoke_license	Published source must be acknowledged ; Must link to publisher version with DOI ; Post-prints are subject to Springer Nature re-use terms	accepted	2019-06-14 10:53:31	2023-01-05 14:56:07	35942		12.0
9418450	12		Publisher source must be acknowledged with citation ; Must link to publisher version with set statement (see policy) and DOI	accepted	2010-08-03 16:45:39	2022-06-22 10:45:44	6769		12.0
8904605	12		Must link to published article with DOI ; Set statement to accompany deposit (see policy)	accepted	2010-08-18 09:42:48	2022-12-22 15:04:33	10295		12.0
8904605	0	cc_by	Published source must be acknowledged with citation	published	2010-08-18 09:42:48	2022-12-22 15:04:33	10295	0.0	
8904605	0	cc_by	Published source must be acknowledged with citation	published	2010-08-18 09:42:48	2022-12-22 15:04:33	10295	0.0	
8904605	0	cc_by	Published source must be acknowledged with citation	published	2010-08-18 09:42:48	2022-12-22 15:04:33	10295	0.0	
8904605	0	cc_by	Published source must be acknowledged with citation	published	2010-08-18 09:42:48	2022-12-22 15:04:33	10295	0.0	
8904605	0	cc_by	Published source must be acknowledged with citation	published	2010-08-18 09:42:48	2022-12-22 15:04:33	10295	0.0	
8904605	0	cc_by	Published source must be acknowledged with citation	published	2010-08-18 09:42:48	2022-12-22 15:04:33	10295	0.0	
8904605	0	cc_by	Published source must be acknowledged with citation	published	2010-08-18 09:42:48	2022-12-22 15:04:33	10295	0.0	
8904605	0	cc_by	Published source must be acknowledged with citation	published	2010-08-18 09:42:48	2022-12-22 15:04:33	10295	0.0	
8904605	0	cc_by	Published source must be acknowledged with citation	published	2010-08-18 09:42:48	2022-12-22 15:04:33	10295	0.0	
8904605	0	cc_by	Published source must be acknowledged with citation	published	2010-08-18 09:42:48	2022-12-22 15:04:33	10295	0.0	
8917200	12	bespoke_license	Published source must be acknowledged ; Must link to publisher version with DOI ; Post-prints are subject to Springer Nature re-use terms	accepted	2014-08-27 13:07:03	2023-01-05 14:55:59	27949		12.0
0157313	12		Must be accompanied by set statement (see policy) ; Must link to publisher version	accepted	2010-08-05 15:42:01	2022-06-16 13:58:20	7760		12.0
9100813	12	cc_by_nc	Published source must be acknowledged ; Must link to publisher version ; Set statements to accompany deposits (see policy) ; The publisher will deposit in on behalf of authors to a designated institutional repository, where a deposit agreement exists with the repository	accepted	2010-07-02 15:20:28	2022-07-25 08:12:27	288		12.0
9100813	12	cc_by_nc_nd	Published source must be acknowledged ; Must link to publisher version ; Set statements to accompany deposits (see policy) ; The publisher will deposit in on behalf of authors to a designated institutional repository, where a deposit agreement exists with the repository	accepted	2010-07-02 15:20:28	2022-07-25 08:12:27	288		12.0
101729147	12		Must be accompanied by set statement (see policy) ; Must link to publisher version	accepted	2021-08-06 10:19:54	2022-06-16 14:00:59	39490		12.0
101504991	12		Must be accompanied by set statement (see policy) ; Must link to publisher version	accepted	2010-08-05 15:42:01	2022-06-16 13:58:20	7761		12.0
101654670	12		Must be accompanied by set statement (see policy) ; Must link to publisher version	accepted	2016-11-29 13:15:14	2022-06-16 13:59:59	31995		12.0
101282906	12		Must be accompanied by set statement (see policy) ; Must link to publisher version	accepted	2010-08-05 15:42:01	2022-06-16 13:58:20	7762		12.0
101525337	12		Must be accompanied by set statement (see policy) ; Must link to publisher version	accepted	2010-08-05 15:42:01	2022-06-16 13:58:20	7763		12.0
101654580	12		Must be accompanied by set statement (see policy) ; Must link to publisher version	accepted	2015-12-16 14:39:35	2022-06-16 13:59:56	30804		12.0
101574672	12		Must be accompanied by set statement (see policy) ; Must link to publisher version	accepted	2011-10-03 09:49:24	2022-06-16 13:59:26	21294		12.0
101313589	12		Must be accompanied by set statement (see policy) ; Must link to publisher version	accepted	2010-08-05 15:42:01	2022-06-16 13:58:20	7765		12.0
101669031	12		Must be accompanied by set statement (see policy) ; Must link to publisher version	accepted	2021-01-28 14:05:39	2022-06-16 14:00:53	38411		12.0
101575075	12		Must be accompanied by set statement (see policy) ; Must link to publisher version	accepted	2011-10-03 09:49:24	2022-06-16 13:59:26	21296		12.0
0370270	12		Publisher source must be acknowledged with citation ; Must link to publisher version with set statement (see policy)	accepted	2010-08-03 16:45:39	2022-06-22 10:48:33	6770		12.0
0370270	24		Publisher source must be acknowledged with citation ; Must link to publisher version with set statement (see policy)	accepted	2010-08-03 16:45:39	2022-06-22 10:48:33	6770		24.0
101233144	12	cc_by_nc_nd	Must link to publisher version with DOI	accepted	2010-07-01 16:35:23	2022-12-23 09:46:27	172		12.0
101233144	12	cc_by_nc_nd	Must link to publisher version with DOI	accepted	2010-07-01 16:35:23	2022-12-23 09:46:27	172		12.0
101233144	12	cc_by_nc_nd	Must link to publisher version with DOI	accepted	2010-07-01 16:35:23	2022-12-23 09:46:27	172		12.0
101233144	12	cc_by_nc_nd	Must link to publisher version with DOI	accepted	2010-07-01 16:35:23	2022-12-23 09:46:27	172		12.0
101233144	12	cc_by_nc_nd	Must link to publisher version with DOI	accepted	2010-07-01 16:35:23	2022-12-23 09:46:27	172		12.0
101233144	12	cc_by_nc_nd	Must link to publisher version with DOI	accepted	2010-07-01 16:35:23	2022-12-23 09:46:27	172		12.0
101233144	12	cc_by_nc_nd	Must link to publisher version with DOI	accepted	2010-07-01 16:35:23	2022-12-23 09:46:27	172		12.0
101233144	12	cc_by_nc_nd	Must link to publisher version with DOI	accepted	2010-07-01 16:35:23	2022-12-23 09:46:27	172		12.0
101233144	12	cc_by_nc_nd	Must link to publisher version with DOI	accepted	2010-07-01 16:35:23	2022-12-23 09:46:27	172		12.0
101233144	12	cc_by_nc_nd	Must link to publisher version with DOI	accepted	2010-07-01 16:35:23	2022-12-23 09:46:27	172		12.0
101233144	12	cc_by_nc_nd	Must link to publisher version with DOI	accepted	2010-07-01 16:35:23	2022-12-23 09:46:27	172		12.0
101233144	12	cc_by_nc_nd	Must link to publisher version with DOI	accepted	2010-07-01 16:35:23	2022-12-23 09:46:27	172		12.0
101233144	24	cc_by_nc_nd	Must link to publisher version with DOI	accepted	2010-07-01 16:35:23	2022-12-23 09:46:27	172		24.0
0421520	12	bespoke_license	Published source must be acknowledged ; Must link to publisher version with DOI ; Post-prints are subject to Springer Nature re-use terms	accepted	2010-08-26 11:49:28	2023-01-05 14:55:31	11753		12.0
101247110	0	cc_by	Published source must be acknowledged with citation	published	2019-11-27 11:29:56	2022-07-21 09:34:08	36687	0.0	
0370571	12	cc_by_nc	Published source must be acknowledged ; Must link to publisher version ; Set statements to accompany deposits (see policy) ; The publisher will deposit in on behalf of authors to a designated institutional repository, where a deposit agreement exists with the repository	accepted	2018-02-19 14:59:15	2022-07-25 08:49:30	33499		12.0
0370571	12	cc_by_nc_nd	Published source must be acknowledged ; Must link to publisher version ; Set statements to accompany deposits (see policy) ; The publisher will deposit in on behalf of authors to a designated institutional repository, where a deposit agreement exists with the repository	accepted	2018-02-19 14:59:15	2022-07-25 08:49:30	33499		12.0
0370306	12	cc_by_nc	Published source must be acknowledged ; Must link to publisher version ; Set statements to accompany deposits (see policy) ; The publisher will deposit in on behalf of authors to a designated institutional repository, where a deposit agreement exists with the repository	accepted	2010-08-02 13:45:53	2022-07-25 08:49:53	6326		12.0
0370306	12	cc_by_nc_nd	Published source must be acknowledged ; Must link to publisher version ; Set statements to accompany deposits (see policy) ; The publisher will deposit in on behalf of authors to a designated institutional repository, where a deposit agreement exists with the repository	accepted	2010-08-02 13:45:53	2022-07-25 08:49:53	6326		12.0
101620182	0		Pre-print must acknowledge submission to journal ; Must link to publisher version on IUCr server ; Published source must be acknowledged with citation	accepted	2015-07-14 11:19:36	2022-07-21 10:51:22	29901		0.0
101620182	0	cc_by	Published source must be acknowledged with citation ; Must link to publisher version on IUCr server	accepted	2015-07-14 11:19:36	2022-07-21 10:51:22	29901		0.0
101620182	0		Must link to publisher version on IUCr server ; Published source must be acknowledged with citation	published	2015-07-14 11:19:36	2022-07-21 10:51:22	29901	0.0	
101609037	0		Pre-print must acknowledge submission to journal ; Must link to publisher version on IUCr server ; Published source must be acknowledged with citation	accepted	2015-07-14 11:19:36	2022-07-21 10:51:11	29902		0.0
101609037	0	cc_by	Published source must be acknowledged with citation ; Must link to publisher version on IUCr server	accepted	2015-07-14 11:19:36	2022-07-21 10:51:11	29902		0.0
101609037	0		Must link to publisher version on IUCr server ; Published source must be acknowledged with citation	published	2015-07-14 11:19:36	2022-07-21 10:51:11	29902	0.0	
