NlmUniqueID	embargo	sherpa_id	embargo_published_version	embargo_accepted_version	oa_status
33370	12	10878		12.0	green
105072	12	13286		12.0	green
110674	12	11416		12.0	green
366151	12	16570		12.0	green
413645	12	10884		12.0	green
417402	12	4712		12.0	green
7602745	12	12975		12.0	green
8002006	12	12974		12.0	green
8406899	12	17165		12.0	green
8906319	12	13347		12.0	green
9101000	12	16572		12.0	green
9312666	12	13335		12.0	green
9435608	12	15919		12.0	green
9505185	12	12546		12.0	green
9508901	12	10879		12.0	green
9706281	12	12973		12.0	green
9805460	12	16560		12.0	green
9884362	12	4713		12.0	green
101266131	12	16571		12.0	green
101477604	12	15891		12.0	green
101528275	12	15856		12.0	green
0001027	12	3771		12.0	green
0004041	12	7617		12.0	green
0004047	12	18410		12.0	green
0005735	12	17205		12.0	green
0006252	12	11157		12.0	green
0006723	12	10776		12.0	green
0006761	12	7644		12.0	green
0006777	12	7934		12.0	green
0010505	12	16908		12.0	green
0012737	0	3420		0.0	green
0014030	0	13580	0.0	12.0	green
00140360R	0	11095	12.0	0.0	green
0014052	12	7736		12.0	green
0014067	12	11376		12.0	green
0014133	12	10816		12.0	green
0014162	24	41239		24.0	green
0014171	0	3496		0.0	green
0014207	12	15971		12.0	green
0020713	12	15867		12.0	green
0021406	12	19691		12.0	green
0024046	0	9046		0.0	green
0031164	12	1963		12.0	green
0035623	0	9888		0.0	green
0035665	0	9028		0.0	green
0042005	0	4217	0.0	0.0	green
0042033	12	4799		12.0	green
0042124	12	7831		12.0	green
0043125	12	13826		12.0	green
0043306	12	15039		12.0	green
0043312	12	7981		12.0	green
0043535	12	16740		12.0	green
0043541	0	13292	0.0		green
0044652	12	14879		12.0	green
0045312	12	20590		12.0	green
0045335	12	3177		12.0	green
0045377	0	8817	0.0	12.0	green
0045503	12	12479		12.0	green
0046021	12	11836		12.0	green
0046052	12	14051		12.0	green
0047061	12	16821		12.0	green
0047103	6	4069		6.0	green
0050222	12	13864		12.0	green
0050303	24	14110		24.0	green
0050452	12	16574		12.0	green
0052457	6	14670	6.0	12.0	green
0052631	12	4787		12.0	green
0053006	12	13949		12.0	green
0053252	12	4835		12.0	green
0054655	0	9037		0.0	green
0055107	12	11890		12.0	green
0057202	12	475		12.0	green
0057664	0	2249		0.0	green
0060105	12	994		12.0	green
0060450	12	8092		12.0	green
0062647	12	5738		12.0	green
0066127	0	32235	0.0	12.0	green
0066751	12	10841		12.0	green
0067206	12	12811		12.0	green
0070014	6	8746		6.0	green
0072416	12	8534		12.0	green
0074243	12	4841		12.0	green
0075674	0	11928	0.0	12.0	green
0077340	0	14639		0.0	green
0077427	12	321		12.0	green
0100626	12	18678		12.0	green
0100714	6	22094		6.0	green
0100725	12	16868		12.0	green
0101032	12	15490		12.0	green
0102444	12	13829		12.0	green
0103130	0	9288		0.0	green
0103146	12	14209		12.0	green
0103314	0	40340	0.0		green
0103374	0	8982		0.0	green
0105454	12	6619		12.0	green
0107305	24	27337		24.0	green
0110672	0	41888		0.0	green
0111052	0	22297		0.0	green
0111356	0	31089		0.0	green
0112037	0	1851		0.0	green
0112040	0	4143	0.0	0.0	green
0112725	0	11966		0.0	green
0113724	0	6221	6.0	0.0	green
0114365	12	15619		12.0	green
0116711	12	4277		12.0	green
0116717	0	18648	12.0	0.0	green
0116744	12	10405		12.0	green
0120300	12	41320		12.0	green
0123703	12	4818		12.0	green
0126611	12	16117		12.0	green
0132144	0	8968	0.0	12.0	green
0133660	12	12814		12.0	green
0135054	0	9034		0.0	green
0135232	12	4719		12.0	green
0136553	0	22208		0.0	green
0137162	12	6894		12.0	green
0137356	0	9048		0.0	green
0141053	0	8971		0.0	green
0141233	0	8567		0.0	green
0142167	12	10406		12.0	green
0142657	12	6953		12.0	green
0144032	6	2176		6.0	green
0144042	12	4807		12.0	green
