NlmUniqueID	sherpa_id	sherpa_has_oa_path
9015384	1406	yes
101269322	10921	yes
101223209	16180	yes
100960111	16179	yes
101674571	35942	yes
9418450	6769	yes
8904605	10295	yes
8917200	27949	yes
0157313	7760	yes
9100813	288	yes
101729147	39490	yes
101504991	7761	yes
101654670	31995	yes
101282906	7762	yes
101525337	7763	yes
101654580	30804	yes
101574672	21294	yes
101313589	7765	yes
101669031	38411	yes
101575075	21296	yes
0370270	6770	yes
14520300R	30716	yes
101233144	172	yes
0421520	11753	yes
101247110	36687	yes
0370571	33499	yes
0370306	6326	yes
9425483	41203	yes
101620182	29901	yes
101609037	29902	yes
101620313	29903	yes
101676043	35453	yes
101620319	26674	yes
0370307	19886	yes
0370310	13690	yes
9200299	11754	yes
0141053	8971	yes
7906803	21341	yes
9705947	39095	yes
9434021	2090	yes
0151000	11780	yes
0247035	23430	yes
0370336	11840	yes
0412041	7403	yes
101610673	26209	yes
9612501	24382	yes
0370343	6772	yes
0370344	753	yes
8709065	754	yes
101468102	6778	yes
101231512	42998	yes
0370354	756	yes
101770938	21417	yes
9205968	6773	yes
9301947	26384	yes
9303678	26385	yes
100956087	7593	yes
101262545	3790	yes
0370364	11850	yes
8706123	6779	yes
8406376	2094	yes
0370400	2203	yes
0370401	43191	yes
101771154	21418	yes
9304117	1662	yes
8701671	12245	yes
9604935	872	yes
101316917	20869	yes
9304118	6774	yes
101567863	21814	yes
8914574	16472	yes
101775319	39538	yes
8710523	1732	yes
9612021	16364	yes
101581613	21321	yes
9885358	229	yes
101125644	8705	yes
101540874	25273	yes
100913944	7389	yes
101697329	41771	yes
101734172	35191	yes
101664569	31051	yes
100911021	8707	yes
8611864	16365	yes
101590593	37035	yes
9707469	193	yes
7701756	16219	yes
101146510	12171	yes
101255062	1910	yes
101520860	19569	yes
0375655	1334	yes
101128963	10457	yes
7502265	13815	yes
101508617	25549	yes
101130839	80	yes
101132995	27957	yes
9808210	1008	yes
9705773	4914	yes
8710219	8709	yes
9712133	17044	yes
8915313	42145	yes
9607225	146	yes
8709376	1308	yes
101237921	21402	yes
8003708	10301	yes
101631047	42146	yes
101518076	291	yes
8310684	1335	yes
7707242	6825	yes
8707234	81	yes
0370073	4858	yes
9616296	3673	yes
7804028	3704	yes
8110074	7204	yes
100953980	30707	yes
101231978	10547	yes
101511643	2394	yes
0414670	13789	yes
9208821	771	yes
101082834	6419	yes
9114917	14533	yes
100898738	6161	yes
101770171	4677	yes
0370467	24607	yes
100967755	18247	yes
7901431	9765	yes
100895290	18248	yes
0376027	6233	yes
0370470	30983	yes
