NlmUniqueID	sherpa_id	additional_oa_fee	oa_status
9015384	1406	yes	hybrid or gold
101223209	16180	yes	hybrid or gold
100960111	16179	yes	hybrid or gold
101674571	35942	yes	hybrid or gold
9418450	6769	yes	hybrid or gold
8904605	10295	yes	hybrid or gold
8917200	27949	yes	hybrid or gold
0157313	7760	yes	hybrid or gold
9100813	288	yes	hybrid or gold
101729147	39490	yes	hybrid or gold
101504991	7761	yes	hybrid or gold
101654670	31995	yes	hybrid or gold
101282906	7762	yes	hybrid or gold
101525337	7763	yes	hybrid or gold
101654580	30804	yes	hybrid or gold
101574672	21294	yes	hybrid or gold
101313589	7765	yes	hybrid or gold
101669031	38411	yes	hybrid or gold
101575075	21296	yes	hybrid or gold
0370270	6770	yes	hybrid or gold
101233144	172	yes	hybrid or gold
0421520	11753	yes	hybrid or gold
0370571	33499	yes	hybrid or gold
0370306	6326	yes	hybrid or gold
101620182	29901	yes	hybrid or gold
101609037	29902	yes	hybrid or gold
101620313	29903	yes	hybrid or gold
101676043	35453	yes	hybrid or gold
101620319	26674	yes	hybrid or gold
0370307	19886	yes	hybrid or gold
9200299	11754	yes	hybrid or gold
0141053	8971	yes	hybrid or gold
9434021	2090	yes	hybrid or gold
0151000	11780	yes	hybrid or gold
0247035	23430	yes	hybrid or gold
0370336	11840	yes	hybrid or gold
0412041	7403	yes	hybrid or gold
9612501	24382	yes	hybrid or gold
0370344	753	yes	hybrid or gold
8709065	754	yes	hybrid or gold
101468102	6778	yes	hybrid or gold
0370354	756	yes	hybrid or gold
101770938	21417	yes	hybrid or gold
9205968	6773	yes	hybrid or gold
9301947	26384	yes	hybrid or gold
100956087	7593	yes	hybrid or gold
101262545	3790	yes	hybrid or gold
0370364	11850	yes	hybrid or gold
8706123	6779	yes	hybrid or gold
8406376	2094	yes	hybrid or gold
9304117	1662	yes	hybrid or gold
8701671	12245	yes	hybrid or gold
9604935	872	yes	hybrid or gold
9304118	6774	yes	hybrid or gold
8914574	16472	yes	hybrid or gold
101775319	39538	yes	hybrid or gold
8710523	1732	yes	hybrid or gold
9612021	16364	yes	hybrid or gold
101581613	21321	yes	hybrid or gold
9885358	229	yes	hybrid or gold
101125644	8705	yes	hybrid or gold
100913944	7389	yes	hybrid or gold
100911021	8707	yes	hybrid or gold
8611864	16365	yes	hybrid or gold
101590593	37035	yes	hybrid or gold
9707469	193	yes	hybrid or gold
0375655	1334	yes	hybrid or gold
101128963	10457	yes	hybrid or gold
7502265	13815	yes	hybrid or gold
101132995	27957	yes	hybrid or gold
9705773	4914	yes	hybrid or gold
