NlmUniqueID	Title	MedlineTA	Country	Place	Publisher	PublicationFirstYear	PublicationEndYear	Frequency	ISSN-Electronic	ISSN-Print	ISSN-Linking	Language	TitleContinuationYN	IndexingStartDate	CurrentlyIndexedYN	IndexOnlineYN	IndexingSubset	IndexingSelectedURL	ReportedMedlineYN	ISSN	sherpa_oa	embargo	sherpa_oa_green	additional_oa_fee	sherpa_oa_hybrid	title_sherpa	issne_sherpa	issnp_sherpa	url	publisher_id	publisher_country	publisher_type	publisher_url	publisher_name	sherpa_id	sherpa_uri	ISSN_old_x	DOAJ_pissn	ISSN_old_y	DOAJ_title	DOAJ_eissn	DOAJ_Seal	DOAJ_date	DOAJ_year	DOAJ	year_founded	year_reverse_flipped	journal_location	society_affiliation	other_sci_affiliation	flipped_journal_name	post_flip_publisher	flipped_access_model	apc_pre	apc_post	apc_now	discipline	flipped_oa	flipped_born_oa	flipped_embargo	Reverse_Flip
9015384	20 century British history	20 Century Br Hist	England	Eynsham, Oxford	Oxford University Press	1990		4 no. a year,	1477-4674	0955-2359	0955-2359	eng	N	1990.0	Y	N	QIS		Y	1477-4674	yes	24.0	yes	yes	yes	Twentieth Century British History	1477-4674	0955-2359	https://academic.oup.com/tcbh	55.0	gb	university_publisher	http://www.oxfordjournals.org/	Oxford University Press	1406.0	https://v2.sherpa.ac.uk/id/publisher_policy/1112																									
101714112	A&A practice	A A Pract	United States	[Philadelphia, PA]	Wolters Kluwer Health, Inc.	2018		Biweekly	2575-3126		2575-3126	eng	Y	2018.0	Y	Y	IM	https://ovidsp.ovid.com/ovidweb.cgi?T=JS&MODE=ovid&PAGE=toc&D=ovft&AN=02054229-000000000-00000	Y	2575-3126																																									
101269322	AACN advanced critical care	AACN Adv Crit Care	United States	Aliso Viejo, CA	American Association of Critical-Care Nurses (AACN)	2006		Quarterly	1559-7776	1559-7768	1559-7768	eng	Y	2006.0	Y	Y	N	https://aacnjournals.org/aacnacconline	Y	1559-7776	yes					AACN Advanced Critical Care	1559-7776	1559-7768	http://acc.aacnjournals.org/	663.0	us	society_publisher	http://www.aacn.org/	American Association of Critical Care Nurses	10921.0	https://v2.sherpa.ac.uk/id/publisher_policy/663																									
0431420	AANA journal	AANA J	United States	Park Ridge, Ill.	American Association of Nurse Anesthetists	1974		Bimonthly	2162-5239	0094-6354	0094-6354	eng	N	1974.0	Y	Y	N	https://www.aana.com/publications/aana-journal	Y	2162-5239																																									
101223209	The AAPS journal	AAPS J	United States	Arlington, Va., USA	American Association of Pharmaceutical Scientists	2004		Four no. a year	1550-7416		1550-7416	eng	Y	2004.0	Y	Y	IM	https://link.springer.com/journal/12248	Y	1550-7416	yes	12.0	yes	yes	yes	AAPS Journal		1550-7416	http://link.springer.com/journal/12248	313.0	us	client_organisation	http://www.aapsj.org/	American Association of Pharmaceutical Scientists	16180.0	https://v2.sherpa.ac.uk/id/publisher_policy/3291																									
100960111	AAPS PharmSciTech	AAPS PharmSciTech	United States	New York	Springer	2000		Quarterly	1530-9932		1530-9932	eng	N	2000.0	Y	Y	IM	https://link.springer.com/journal/12249	Y	1530-9932	yes	12.0	yes	yes	yes	AAPS PharmSciTech	1530-9932		http://link.springer.com/journal/12249	3291.0	gb	commercial_publisher	https://www.springernature.com/gp/products/journals	Springer	16179.0	https://v2.sherpa.ac.uk/id/publisher_policy/3291																									
101674571	Abdominal radiology (New York)	Abdom Radiol (NY)	United States	[New York]	Springer	2016		Monthly,	2366-0058	2366-004X		eng	Y	2016.0	Y	Y	IM	http://link.springer.com/journal/volumesAndIssues/261	Y	2366-0058	yes	12.0	yes	yes	yes	Abdominal Radiology	2366-0058	2366-004X	https://www.springer.com/journal/261	3291.0	gb	commercial_publisher	https://www.springernature.com/gp/products/journals	Springer	35942.0	https://v2.sherpa.ac.uk/id/publisher_policy/3291																									
9418450	Academic emergency medicine : official journal of the Society for Academic Emergency Medicine	Acad Emerg Med	United States	Hoboken, N.J.	Wiley	1994		Monthly,	1553-2712	1069-6563	1069-6563	eng	N	1994.0	Y	Y	IM	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1553-2712	Y	1553-2712	yes	12.0	yes	yes	yes	Academic Emergency Medicine: A Global Journal of Emergency Care	1553-2712	1069-6563	https://onlinelibrary.wiley.com/journal/15532712	580.0	us	commercial_publisher	https://www.wiley.com/en-gb	Wiley	6769.0	https://v2.sherpa.ac.uk/id/publisher_policy/2050																									
8904605	Academic medicine : journal of the Association of American Medical Colleges	Acad Med	United States	Philadelphia, PA	Published for the Association of American Medical Colleges by Lippincott Williams & Wilkins	1989		Monthly	1938-808X	1040-2446	1040-2446	eng	N	1989.0	Y	Y	IM	http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=toc&D=yrovft&AN=00001888-000000000-00000	Y	1938-808X	yes	12.0	yes	yes	yes	Academic Medicine	1938-808X	1040-2446	http://www.academicmedicine.org/	763.0	us	associate_organisation	http://www.aamc.org/	Association of American Medical Colleges	10295.0	https://v2.sherpa.ac.uk/id/publisher_policy/4350																									
101499145	Academic pediatrics	Acad Pediatr	United States	New York	Elsevier	2009		Bimonthly	1876-2867	1876-2859	1876-2859	eng	Y	2009.0	Y	Y	IM	http://www.sciencedirect.com/science/journal/18762859	Y	1876-2867	yes	12.0	yes	yes	yes	Academic Pediatrics		1876-2859	https://www.journals.elsevier.com/academic-pediatrics	30.0	us	commercial_publisher	http://www.elsevier.com/	Elsevier	1715.0	https://v2.sherpa.ac.uk/id/publisher_policy/2823																									
