NlmUniqueID	Title	MedlineTA	Country	Place	Publisher	PublicationFirstYear	PublicationEndYear	Frequency	ISSN-Electronic	ISSN-Print	ISSN-Linking	Language	TitleContinuationYN	IndexingStartDate	CurrentlyIndexedYN	IndexOnlineYN	IndexingSubset	IndexingSelectedURL	ReportedMedlineYN	ISSN	sherpa_oa	embargo	sherpa_oa_green	additional_oa_fee	sherpa_oa_hybrid	title_sherpa	issne_sherpa	issnp_sherpa	url	publisher_id	publisher_country	publisher_type	publisher_url	publisher_name	sherpa_id	sherpa_uri	ISSN_old_x	DOAJ_pissn	ISSN_old_y	DOAJ_title	DOAJ_eissn	DOAJ_Seal	DOAJ_date	DOAJ_year	DOAJ	year_founded	year_reverse_flipped	journal_location	society_affiliation	other_sci_affiliation	flipped_journal_name	post_flip_publisher	flipped_access_model	apc_pre	apc_post	apc_now	discipline	flipped_oa	flipped_born_oa	flipped_embargo	Reverse_Flip	not_oa_not_hybrid
101714112	A&A practice	A A Pract	United States	[Philadelphia, PA]	Wolters Kluwer Health, Inc.	2018		Biweekly	2575-3126		2575-3126	eng	Y	2018.0	Y	Y	IM	https://ovidsp.ovid.com/ovidweb.cgi?T=JS&MODE=ovid&PAGE=toc&D=ovft&AN=02054229-000000000-00000	Y	2575-3126																																										yes
101269322	AACN advanced critical care	AACN Adv Crit Care	United States	Aliso Viejo, CA	American Association of Critical-Care Nurses (AACN)	2006		Quarterly	1559-7776	1559-7768	1559-7768	eng	Y	2006.0	Y	Y	N	https://aacnjournals.org/aacnacconline	Y	1559-7776	yes					AACN Advanced Critical Care	1559-7776	1559-7768	http://acc.aacnjournals.org/	663.0	us	society_publisher	http://www.aacn.org/	American Association of Critical Care Nurses	10921.0	https://v2.sherpa.ac.uk/id/publisher_policy/663																										yes
0431420	AANA journal	AANA J	United States	Park Ridge, Ill.	American Association of Nurse Anesthetists	1974		Bimonthly	2162-5239	0094-6354	0094-6354	eng	N	1974.0	Y	Y	N	https://www.aana.com/publications/aana-journal	Y	2162-5239																																										yes
101206716	Acta biochimica et biophysica Sinica	Acta Biochim Biophys Sin (Shanghai)	China	Shanghai	Oxford University Press	2004		Monthly	1745-7270	1672-9145	1672-9145	eng	Y	2004.0	Y	Y	IM	https://academic.oup.com/abbs	Y	1745-7270																																										yes
101194794	Acta of bioengineering and biomechanics	Acta Bioeng Biomech	Poland	Wrocław	Oficyna Wydawnicza Politechniki Wrocławskiej	1999		Irregular		1509-409X	1509-409X	eng	N	2007.0	Y	Y	IM	http://www.actabio.pwr.wroc.pl/archive.php	Y	1509-409X																																										yes
101295064	Acta bio-medica : Atenei Parmensis	Acta Biomed	Italy	Fidenza, Parma	Mattioli 1885	2002		Three no. a year	2531-6745	0392-4203	0392-4203	eng	Y	2002.0	Y	Y	IM	http://www.mattioli1885journals.com/index.php/actabiomedica/issue/archive	Y	2531-6745																																										yes
0407123	Acta chirurgiae orthopaedicae et traumatologiae Cechoslovaca	Acta Chir Orthop Traumatol Cech	Czech Republic	Praha	Scientia Medica	1950		Bimonthly		0001-5415	0001-5415	cze	N	1965.0	Y	Y	IM	http://www.achot.cz/vydanacisla.php	Y	0001-5415																																										yes
0370301	Acta chirurgiae plasticae	Acta Chir Plast	Czech Republic	Praha	Galen Prague	1959		Four no. a year	1805-4404	0001-5423	0001-5423	eng	N	1965.0	Y	N	IM		Y	1805-4404																																										yes
9422563	Acta dermatovenerologica Alpina, Pannonica, et Adriatica	Acta Dermatovenerol Alp Pannonica Adriat	Slovenia	Ljubljana	Združenje Slovenskih Dermatovenerologov	1992		Quarterly	1581-2979	1318-4458	1318-4458	eng	N	2005.0	Y	Y	IM	http://www.acta-apa.org/	Y	1581-2979																																										yes
9433781	Acta dermatovenerologica Croatica : ADC	Acta Dermatovenerol Croat	Croatia	Zagreb	Croatian Dermatovenerological Society	1993		Four no. a year	1847-6538	1330-027X	1330-027X	hrv	N	2001.0	Y	Y	IM	http://adc.mef.hr/index.php/adc/issue/archive	Y	1847-6538																																										yes
