MeshHeading	count	Unconquerables	% Unconquerables	MEDLINE journals OA compliant	% MEDLINE journals OA compliant
AIDS Dementia Complex	1	0	0.0	1	1.0
AIDS Vaccines	2	0	0.0	2	1.0
AIDS-Related Opportunistic Infections	1	0	0.0	1	1.0
Abdomen	3	0	0.0	3	1.0
Abnormalities, Drug-Induced	5	0	0.0	5	1.0
Abnormalities, Multiple	1	0	0.0	1	1.0
Abortion, Induced	3	0	0.0	3	1.0
Absorptiometry, Photon	1	0	0.0	1	1.0
Academic Dissertations as Topic	1	0	0.0	1	1.0
Acari	1	0	0.0	1	1.0
Acceleration	1	0	0.0	1	1.0
Access to Information	1	0	0.0	1	1.0
Accident Prevention	12	0	0.0	12	1.0
Accidents	13	1	0.07692307692307693	12	0.9230769230769231
Accidents, Aviation	2	0	0.0	2	1.0
Accidents, Occupational	18	1	0.05555555555555555	17	0.9444444444444444
Accidents, Traffic	9	1	0.1111111111111111	8	0.8888888888888888
Acclimatization	2	0	0.0	2	1.0
Accounting	2	0	0.0	2	1.0
Accreditation	2	0	0.0	2	1.0
Acoustics	3	0	0.0	3	1.0
Acquired Immunodeficiency Syndrome	80	2	0.025	78	0.975
Actuarial Analysis	1	1	1.0	0	0.0
Acupuncture Therapy	9	2	0.2222222222222222	7	0.7777777777777778
Acute Disease	4	1	0.25	3	0.75
Acute Kidney Injury	1	0	0.0	1	1.0
Adaptation, Biological	2	0	0.0	2	1.0
Adaptation, Physiological	4	0	0.0	4	1.0
Adaptation, Psychological	3	0	0.0	3	1.0
Adhesives	1	0	0.0	1	1.0
Adipocytes	1	0	0.0	1	1.0
Adipose Tissue	1	0	0.0	1	1.0
Adjuvants, Immunologic	1	0	0.0	1	1.0
Administrative Personnel	6	0	0.0	6	1.0
Admitting Department, Hospital	4	0	0.0	4	1.0
Adolescent	37	1	0.027027027027027032	36	0.972972972972973
Adolescent Behavior	2	0	0.0	2	1.0
Adolescent Health	1	0	0.0	1	1.0
Adolescent Medicine	10	0	0.0	10	1.0
Adolescent Psychiatry	10	0	0.0	10	1.0
Adult	3	0	0.0	3	1.0
Advanced Practice Nursing	1	0	0.0	1	1.0
Aerosols	4	0	0.0	4	1.0
Aerospace Medicine	42	1	0.023809523809523808	41	0.9761904761904762
Affect	1	0	0.0	1	1.0
