NlmUniqueID	Title	Country	Publisher	PublicationFirstYear	PublicationEndYear	Frequency	Language	first_year	last_year	PMIDs	PMIDs_2021	PMIDs_2022	DOIs	unconquerables
9015384	20 century British history	England	Oxford University Press	1990		4 no. a year,	eng	1990.0	2019.0	145.0			144.0	
101714112	A&A practice	United States	Wolters Kluwer Health, Inc.	2018		Biweekly	eng	2018.0	2022.0	999.0	187.0	73.0	999.0	1.0
101269322	AACN advanced critical care	United States	American Association of Critical-Care Nurses (AACN)	2006		Quarterly	eng	2006.0	2022.0	851.0	59.0	37.0	837.0	1.0
0431420	AANA journal	United States	American Association of Nurse Anesthetists	1974		Bimonthly	eng	1974.0	2022.0	2547.0	75.0	60.0	0.0	1.0
101223209	The AAPS journal	United States	American Association of Pharmaceutical Scientists	2004		Four no. a year	eng	2004.0	2022.0	1976.0	123.0	109.0	1976.0	
100960111	AAPS PharmSciTech	United States	Springer	2000		Quarterly	eng	2000.0	2022.0	3971.0	306.0	273.0	3971.0	
101674571	Abdominal radiology (New York)	United States	Springer	2016		Monthly,	eng	2016.0	2022.0	3145.0	616.0	490.0	3145.0	
9418450	Academic emergency medicine : official journal of the Society for Academic Emergency Medicine	United States	Wiley	1994		Monthly,	eng	1994.0	2022.0	6415.0	235.0	255.0	6259.0	
8904605	Academic medicine : journal of the Association of American Medical Colleges	United States	Published for the Association of American Medical Colleges by Lippincott Williams & Wilkins	1989		Monthly	eng	1989.0	2022.0	13717.0	657.0	616.0	13383.0	
101499145	Academic pediatrics	United States	Elsevier	2009		Bimonthly	eng	2009.0	2022.0	2119.0	252.0	354.0	2119.0	
8917200	Academic psychiatry : the journal of the American Association of Directors of Psychiatric Residency Training and the Association for Academic Psychiatry	United States	Springer	1989		Quarterly	eng	1989.0	2022.0	3090.0	169.0	233.0	3090.0	
9440159	Academic radiology	United States	Association Of University Radiologists	1994		Monthly	eng	1994.0	2023.0	6741.0	354.0	580.0	6698.0	
0157313	Accounts of chemical research	United States	American Chemical Society.	1968		Monthly	eng	1992.0	2022.0	4974.0	389.0	303.0	4973.0	
1254476	Accident; analysis and prevention	England	Pergamon Press	1969		Bimonthly	eng	1985.0	2023.0	6839.0	471.0	251.0	6821.0	
9100813	Accountability in research	United States	Informa Healthcare	1989		Four no. a year	eng	1989.0	2022.0	670.0	52.0	86.0	670.0	
101729147	ACS applied bio materials	United States	ACS Publications	2018		Monthly	eng	2018.0	2022.0	2939.0	718.0	509.0	2938.0	
101504991	ACS applied materials & interfaces	United States	American Chemical Society	2009		Monthly	eng	2009.0	2022.0	46849.0	6017.0	5262.0	46849.0	
101654670	ACS biomaterials science & engineering	United States	American Chemical Society	2015		Monthly	eng	2015.0	2022.0	3373.0	518.0	454.0	3373.0	
101282906	ACS chemical biology	United States	American Chemical Society	2006		Monthly	eng	2006.0	2022.0	4386.0	297.0	347.0	4386.0	
101525337	ACS chemical neuroscience	United States	American Chemical Society	2010		Monthly	eng	2010.0	2022.0	3334.0	403.0	324.0	3334.0	
101654580	ACS infectious diseases	United States	ACS Publications	2015		Monthly	eng	2015.0	2022.0	1478.0	286.0	215.0	1478.0	
101574672	ACS macro letters	United States	American Chemical Society	2012		Monthly	eng	2011.0	2022.0	2909.0	244.0	220.0	2908.0	
101313589	ACS nano	United States	American Chemical Society	2007		Monthly	eng	2007.0	2022.0	18610.0	1714.0	1766.0	18610.0	
101669031	ACS sensors	United States	American Chemical Society	2016		Monthly	eng	2016.0	2022.0	2359.0	474.0	397.0	2359.0	
101575075	ACS synthetic biology	United States	American Chemical Society	2012		Monthly	eng	2012.0	2022.0	2518.0	332.0	407.0	2518.0	
0370270	Acta anaesthesiologica Scandinavica	England	Wiley-Blackwell	1957		Ten no. a year,	eng	1957.0	2022.0	9089.0	187.0	191.0	9015.0	
101206716	Acta biochimica et biophysica Sinica	China	China Science Publishing & Media Ltd.	2004		Monthly	eng	2004.0	2022.0	2691.0	195.0	182.0	2642.0	1.0
14520300R	Acta biochimica Polonica	Poland	Panstwowe Wydawnictwo Naukowe	1954		Quarterly	mul	1955.0	2022.0	4426.0	109.0	107.0	1080.0	
101194794	Acta of bioengineering and biomechanics	Poland	Oficyna Wydawnicza Politechniki Wrocławskiej	1999		Irregular	eng	2007.0	2021.0	847.0	54.0		0.0	1.0
101233144	Acta biomaterialia	England	Elsevier	2005		Monthly,	eng	2005.0	2022.0	8313.0	670.0	793.0	8312.0	
101295064	Acta bio-medica : Atenei Parmensis	Italy	Mattioli 1885	2002		Three no. a year	eng	2002.0	2022.0	2846.0	432.0	380.0	2009.0	1.0
0421520	Acta biotheoretica	Netherlands	Springer	1935		Four no. a year	eng	1948.0	2022.0	814.0	45.0	21.0	807.0	
0370570	Acta cardiologica	England	Taylor & Francis	1946		Bimonthly	eng	1946.0	2022.0	4995.0	219.0	216.0	2536.0	
101247110	Acta chimica Slovenica	Slovenia	Slovenian Chemical Society	1993		Quarterly	eng	2008.0	2022.0	1507.0	106.0	81.0	463.0	
0370571	Acta chirurgica Belgica	England	Taylor & Francis	1946		Bimonthly	fre	1946.0	2022.0	6436.0	130.0	141.0	2163.0	
0407123	Acta chirurgiae orthopaedicae et traumatologiae Cechoslovaca	Czech Republic	Scientia Medica	1950		Bimonthly	cze	1950.0	2022.0	5016.0	70.0	53.0	0.0	1.0
0370301	Acta chirurgiae plasticae	Czech Republic	Galen Prague	1959		Four no. a year	eng	1959.0	2022.0	1625.0	26.0	13.0	39.0	1.0
9103983	Acta cirúrgica brasileira	Brazil	Sociedade Brasileira Para O Desenvolvimento Da Pesquisa Em Cirurgia Curso De Pos-Graduacao Em Tecnica Operatoria E Cirurgia Experimental Escola Paulista De Medicina	1986		Quarterly	eng	2005.0	2022.0	2116.0	94.0	70.0	2073.0	
0370306	Acta clinica Belgica	England	Taylor & Francis	1946		Six no. a year	eng	1946.0	2022.0	4572.0	88.0	185.0	4069.0	
9425483	Acta clinica Croatica	Croatia	Sestre Milosrdnice University Hospital, Institute for Clinical Medical Research	1991		Four no. a year	eng	2008.0	2022.0	1363.0	87.0	65.0	712.0	
101620182	Acta crystallographica. Section A, Foundations and advances	United States	John Wiley & Sons Ltd	2014		Bimonthly	eng	2014.0	2022.0	552.0	57.0	49.0	552.0	
101609037	Acta crystallographica Section B, Structural science, crystal engineering and materials	England	Wiley-Blackwell	2013		Bimonthly	eng	2013.0	2022.0	833.0	32.0	72.0	833.0	
101620313	Acta crystallographica. Section C, Structural chemistry	England	International Union of Crystallography	2014		Monthly	eng	2014.0	2022.0	1553.0	105.0	96.0	1553.0	
101676043	Acta crystallographica. Section D, Structural biology	United States	John Wiley & Sons	2016		Monthly	eng	2016.0	2022.0	849.0	144.0	127.0	849.0	
101620319	Acta crystallographica. Section F, Structural biology communications	United States	John Wiley & Sons Inc.	2013		Monthly	eng	2014.0	2022.0	1262.0	64.0	55.0	1262.0	
