Year	counts
2023	14661
2022	1595029
2021	1567593
2020	1404250
2019	1228698
2018	1173512
2017	1126807
2016	1115665
2015	1089448
2014	1044361
2013	996782
2012	941292
2011	876467
2010	823481
2009	784874
2008	751705
2007	710899
2006	685436
2005	656792
2004	620569
2003	584521
2002	559108
2001	543816
2000	530523
1999	493783
1998	474667
1997	456776
1996	458570
1995	449113
1994	438238
1993	426722
1992	417997
1991	413174
1990	410614
1989	402772
1988	387020
1987	367984
1986	349720
1985	335349
1984	318241
1983	309519
1982	295762
1981	283622
1980	280603
1979	282117
1978	272567
1977	262188
1976	254973
1975	249188
1974	235108
1973	231126
1972	227923
1971	223656
1970	219424
1969	215346
1968	208155
1967	192074
1966	180184
1965	176737
1964	162110
1963	141539
1962	125693
1961	120180
1960	112222
1959	110000
1958	109467
1957	111528
1956	107015
1955	108562
1954	105942
1953	108924
1952	108182
1951	103821
1950	85792
1949	62826
1948	70757
1947	65050
1946	53931
1945	20513
1944	4791
1943	4561
1942	4843
1941	4918
1940	5073
1939	5661
1938	5874
1937	5428
1936	5496
1935	5769
1934	5607
1933	5724
1932	5671
1931	5608
1930	5733
1929	5831
1928	5579
1927	5980
1926	5427
1925	5093
1924	4992
1923	4579
1922	4264
1921	4776
1920	5130
1919	4539
1918	4181
1917	4223
1916	4470
1915	4660
1914	5191
1913	5183
1912	4896
1911	4990
1910	4814
1909	4662
1908	4438
1907	4224
1906	3707
1905	3883
1904	3893
1903	3719
1902	3686
1901	3661
1900	3621
1899	3784
1898	4306
1897	4386
1896	4167
1895	3806
1894	3477
1893	3855
1892	3551
1891	2959
1890	3345
1889	3567
1888	3131
1887	3221
1886	2641
1885	2576
1884	2406
1883	2411
1882	1839
1881	2238
1880	1941
1879	1837
1878	1904
1877	1805
1876	1697
1875	1741
1874	1889
1873	1863
1872	1829
1871	1620
1870	1229
1869	1336
1868	1304
1867	1304
1866	1107
1865	624
1864	680
1863	546
1862	658
1861	780
1860	1044
1859	1060
1858	1185
1857	1132
1856	1168
1855	997
1854	692
1853	918
1852	779
1851	782
1850	758
1849	760
1848	827
1847	777
1846	750
1845	684
1844	609
1843	813
1842	972
1841	829
1840	395
1839	289
1838	265
1837	281
1836	220
1835	222
1834	209
1833	221
1832	285
1831	579
1830	510
1829	568
1828	409
1827	327
1826	385
1825	262
1824	269
1823	291
1822	247
1821	270
1820	213
1819	225
1818	279
1817	288
1816	315
1815	222
1814	285
1813	265
1812	239
1811	322
1810	267
1809	265
1808	289
1807	295
1806	282
1805	314
1804	304
1803	269
1802	291
1801	368
1800	387
1799	300
1798	19
1797	69
1796	20
1795	13
1794	18
1793	17
1792	33
1791	19
1790	45
1789	32
1788	33
1787	43
1786	60
1785	43
1784	31
1783	26
1782	22
1781	69
