Year	counts_currently_indexed
2023	13118
2022	1244839
2021	1205319
2020	1119747
2019	1021270
2018	991396
2017	962374
2016	941528
2015	916148
2014	886054
2013	852305
2012	800410
2011	748736
2010	710533
2009	680895
2008	651502
2007	615689
2006	589210
2005	557296
2004	522274
2003	489221
2002	461276
2001	440304
2000	425731
1999	385455
1998	367334
1997	347649
1996	340716
1995	327669
1994	312793
1993	296022
1992	283977
1991	269222
1990	258817
1989	246310
1988	231182
1987	215334
1986	201631
1985	188639
1984	179487
1983	170864
1982	161422
1981	151723
1980	147253
1979	143719
1978	133697
1977	127842
1976	121876
1975	114947
1974	108679
1973	103025
1972	97623
1971	91587
1970	87256
1969	82195
1968	75141
1967	69011
1966	63058
1965	59711
1964	53052
1963	44653
1962	39302
1961	35630
1960	33369
1959	32998
1958	32696
1957	31364
1956	29806
1955	29519
1954	28169
1953	29026
1952	27771
1951	26247
1950	21923
1949	19122
1948	20483
1947	18223
1946	16723
1945	5164
1944	2151
1943	2213
1942	2343
1941	2395
1940	2431
1939	2225
1938	2280
1937	2322
1936	2315
1935	2491
1934	2407
1933	2403
1932	2379
1931	2163
1930	2145
1929	2287
1928	2168
1927	2315
1926	1994
1925	2055
1924	1692
1923	1501
1922	1470
1921	1309
1920	1319
1919	1204
1918	1140
1917	1173
1916	1212
1915	1197
1914	1072
1913	1004
1912	976
1911	1091
1910	966
1909	932
1908	833
1907	841
1906	867
1905	743
1904	711
1903	715
1902	731
1901	778
1900	711
1899	703
1898	883
1897	797
1896	818
1895	623
1894	333
1893	879
1892	677
1891	491
1890	588
1889	997
1888	638
1887	850
1886	1004
1885	1032
1884	851
1883	700
1882	21
1881	475
1880	325
1879	31
1878	30
