NlmUniqueID	Year
0000201	1963
0000211	1965
0000212	1965
0000213	1945
0000216	1964
0000220	1960
0000221	1945
0000256	1992
0000261	1964
0000262	1963
0000266	2010
0000304	1945
0000670	1945
0000745	1945
0001007	1881
0001010	1855
0001011	1899
0001027	1963
0001061	1973
0001470	1965
0001556	1962
0001626	1946
0001640	1946
0001703	1979
0001760	1945
0001770	1945
0002045	1945
0002052	1796
0002217	1960
0002256	1971
0002266	1950
0002331	1947
0002344	1946
0002442	1987
0002462	1880
0002545	1945
0002552	1951
0002662	1945
0002702	1971
0003044	1964
0003102	1945
0003163	1946
0003354	1964
0003403	1970
0003423	1963
0004017	1836
0004021	1848
0004041	1951
0004047	1965
0004254	1947
0004276	1845
0004333	1963
0004334	1962
0004343	1946
0004455	1971
0004457	1962
0004653	1960
0004704	1965
0004706	1946
0004743	1948
0005023	1950
0005130	1967
0005256	1946
0005327	1987
0005331	1985
0005535	2011
0005610	1946
0005735	1966
0006021	1965
0006226	2007
0006250	1947
0006252	1964
0006253	1977
0006276	1984
0006440	1970
0006450	1945
0006522	1977
0006601	1961
0006672	1847
0006673	1856
0006723	1946
0006761	1962
0006762	1963
0006777	1966
0007110	1965
0007200	1980
0007275	1977
0007305	1855
0007504	1961
0007506	1971
0007616	1965
0007677	1963
0010076	1965
0010301	1964
0010333	1945
0010505	1965
0010615	1961
00110640R	1965
0011077	1871
0011363	1964
0011434	1948
0011620	1945
0011622	1949
0011672	1945
0012036	1886
0012040	1921
0012330	1945
0012445	1965
0012737	1963
0013103	1968
0013104	1964
0013105	1965
0013243	2009
0013252	1989
0013255	1970
0013260	2018
0013262	1979
0013576	1997
0013615	1945
0013665	1945
0013747	1945
0014016	1950
0014024	1977
0014030	1946
0014032	2021
0014035	1881
00140360R	1970
0014050	1965
0014051	2009
0014052	1995
0014060	1971
0014067	1965
0014133	1963
0014157	1945
0014162	1977
0014167	1946
0014171	1965
0014204	1848
0014206	1855
0014207	1965
0014210	2004
0014405	1945
0015266	1963
0015312	1945
0015362	1945
0015363	1815
0015370	1781
0015376	1967
0016262	1948
0016576	1816
0016577	1818
0016603	1962
0016604	1963
0016621	1945
0017036	1947
0017172	1947
0017240	1961
0017241	1945
0017314	1964
0017372	1861
0017416	1791
0017454	1945
0017457	1945
0017463	1833
0017501	1947
0017523	1948
0017615	1947
0017632	2017
0017767	1945
0020066	1969
0020267	1962
0020417	1971
0020712	1965
0020713	1970
0021114	1949
0021263	1965
0021406	1964
0021417	1970
0021740	1950
0022164	1945
0022210	1947
0022245	1948
0022370	1971
0022452	1964
0022623	1964
0022635	1946
0022726	1965
0023124	1948
0023271	1972
0023410	1946
0023416	1972
0023525	1954
0023573	1964
0023623	1964
0023627	1965
0023661	1973
0023662	1945
0023766	1959
0023773	1976
0024022	1945
0024025	1974
0024034	1907
0024046	1965
0024060	1873
0024064	1978
0024237	1945
0024571	1962
0024646	1945
0024675	1960
0024724	1964
0024731	1965
0024737	1973
0024764	2015
0025435	1962
0025637	1857
0025654	1945
0025770	1949
0026222	1946
0026247	1947
0026251	1949
0026740	1948
0027050	1966
0027065	1945
0027133	1945
0027176	1982
0027317	1873
0027374	1964
0027437	1961
0027440	1950
0027501	1993
0027704	1945
0027707	1965
0030130	1950
0030444	1945
0031153	1945
0031164	1945
0031221	1965
0031306	1943
0031315	1946
0031333	1945
0031351	1961
0031517	1946
0031550	1946
0031651	1945
0031734	1956
0032075	1946
0032101	1946
0032151	1976
0032166	1945
0032306	1965
0032311	1963
0032342	1902
0032351	1955
0032352	1965
0032450	1945
0032510	1965
0032666	1971
0033040	1965
0033046	1975
0033325	1962
0033334	1945
0033335	1965
0033336	1965
0033356	1952
0033360	1945
0033370	1971
0033401	2012
0033473	1965
0033567	1970
0033620	1947
0033671	1971
0033754	1965
0033760	1976
0033776	1959
0034007	1970
0034027	1945
0034270	1945
0034351	1946
0034461	1946
0034470	1960
0034616	1820
0034617	1824
0034640	1946
0034745	1945
0035247	1964
0035301	1965
0035477	1948
0035523	1946
0035623	1965
0035654	1965
0035665	1968
0035777	1972
0036137	1968
0036162	1970
0036320	1966
0036410	1981
0036662	1965
0036665	1977
0036761	1972
0037013	1967
0037035	1945
0037112	1946
0037125	1965
0037177	1945
0037206	1963
0037265	1973
0037276	1965
0037353	1978
0037362	1977
0037504	1978
0040021	1964
0040024	1964
0040162	1948
0040250	1966
0040373	1977
0040527	1965
0040616	1971
