NlmUniqueID	Year
0000201	1977
0000211	1991
0000212	1971
0000213	1992
0000216	1988
0000220	1964
0000221	1962
0000256	1993
0000261	1970
0000262	1993
0000266	2015
0000304	1945
0000670	1945
0000745	1945
0001007	1884
0001010	1881
0001011	1918
0001027	2022
0001061	1976
0001470	1967
0001556	1963
0001626	1946
0001640	1960
0001703	1979
0001760	1947
0001770	1946
0002045	1963
0002052	1804
0002217	1971
0002256	2017
0002266	1977
0002331	1947
0002344	1953
0002442	1996
0002462	1880
0002545	1945
0002552	1961
0002662	1945
0002702	1974
0003044	1983
0003102	1946
0003163	2016
0003354	1964
0003403	1996
0003423	1965
0004017	1847
0004021	1877
0004041	2022
0004047	2022
0004254	1947
0004276	1859
0004333	1974
0004334	1965
0004343	1946
0004455	2010
0004457	1963
0004653	2022
0004704	1996
0004706	1957
0004743	2022
0005023	1994
0005130	1972
0005256	1966
0005327	2002
0005331	2022
0005535	2011
0005610	1946
0005735	2022
0006021	1971
0006226	2019
0006250	1947
0006252	2022
0006253	1977
0006276	2020
0006440	2022
0006450	1945
0006522	1977
0006601	1961
0006672	1923
0006673	1859
0006723	2022
0006761	2023
0006762	2008
0006777	2023
0007110	1972
0007200	1998
0007275	2022
0007305	1954
0007504	1961
0007506	1994
0007616	1979
0007677	1963
0010076	1990
0010301	1978
0010333	2022
0010505	2022
0010615	1961
00110640R	2006
0011077	1872
0011363	1991
0011434	1948
0011620	1949
0011622	1964
0011672	1971
0012036	1921
0012040	1924
0012330	2002
0012445	2022
0012737	2022
0013103	2021
0013104	1964
0013105	1997
0013243	2022
0013252	1989
0013255	2022
0013260	2022
0013262	1986
0013576	2022
0013615	1945
0013665	1945
0013747	1959
0014016	1963
0014024	1987
0014030	2022
0014032	2021
0014035	1889
00140360R	2022
0014050	1967
0014051	2022
0014052	2022
0014060	2022
0014067	2022
0014133	2022
0014157	1962
0014162	2022
0014167	1964
0014171	2022
0014204	1860
0014206	1857
0014207	2022
0014210	2022
0014405	1946
0015266	1970
0015312	1963
0015362	1962
0015363	1833
0015370	1790
0015376	1998
0016262	1964
0016576	1818
0016577	1820
0016603	1964
0016604	1964
0016621	1945
0017036	1947
0017172	1947
0017240	1962
0017241	1945
0017314	2017
0017372	1863
0017416	1800
0017454	1971
0017457	1961
0017463	1835
0017501	1949
0017523	1966
0017615	1948
0017632	2017
0017767	1964
0020066	1970
0020267	1962
0020417	1993
0020712	1993
0020713	2022
0021114	1949
0021263	1997
0021406	2023
0021417	1970
0021740	1950
0022164	1945
0022210	1965
0022245	1948
0022370	2022
0022452	1965
0022623	2022
0022635	1948
0022726	1971
0023124	1949
0023271	1991
0023410	1946
0023416	2017
0023525	2022
0023573	1964
0023623	1986
0023627	1966
0023661	1989
0023662	1945
0023766	1965
0023773	1976
0024022	1945
0024025	1978
0024034	1935
0024046	2022
0024060	1907
0024064	1989
0024237	1965
0024571	1962
0024646	1947
0024675	1961
0024724	1985
0024731	1981
0024737	1973
0024764	2015
0025435	1962
0025637	1859
0025654	1945
0025770	2003
0026222	1950
0026247	1949
0026251	2018
0026740	1948
0027050	1966
0027065	1945
0027133	1947
0027176	1987
0027317	1899
0027374	1965
0027437	2011
0027440	2016
0027501	1993
0027704	1951
0027707	2022
0030130	1964
0030444	1995
0031153	1963
0031164	2022
0031221	1965
0031306	1964
0031315	1947
0031333	1945
0031351	1961
0031517	1946
0031550	2014
0031651	1945
0031734	1962
0032075	1961
0032101	1962
0032151	1977
0032166	1949
0032306	1970
