NlmUniqueID	PMID
0001027	186
0004041	521
0004047	43
0004653	187
0004743	35
0005331	265
0005735	244
0006252	82
0006440	221
0006723	225
0006761	396
0006777	236
0007275	3
0010333	48
0010505	522
0012445	3
0012737	522
0013243	233
0013255	144
0013260	1
0013576	1
0014030	416
00140360R	31
0014051	2
0014052	426
0014060	1
0014067	99
0014133	255
0014162	14
0014171	180
0014207	94
0014210	1
0020713	237
0021406	53
0022370	17
0022623	225
0023525	25
0024046	52
0027707	113
0031164	742
0033370	144
0034351	130
0035623	81
0035665	123
0042005	601
0042033	57
0042124	538
0042510	2
0042715	25
0042767	2
0043125	2574
0043175	120
0043306	94
0043312	279
0043533	31
0043535	160
0043541	388
0043545	9
0043617	37
0043764	20
0044652	87
0045130	10
0045170	4
0045233	137
0045312	289
0045332	5
0045335	19
0045377	125
0045503	260
0045715	2
0046021	312
0046052	92
0047061	295
0047103	272
0047670	2
0047757	3
0050006	5
0050202	5
0050222	405
0050303	66
0050452	195
0050734	16
0052457	329
0052631	645
0053006	240
0053252	42
0054655	70
0055030	2
0055107	125
0055201	1
0055203	4
0056471	495
0057202	141
0057764	1
0060105	297
0060433	1
0060450	32
0062647	203
0064145	15
0064302	4
0064717	1
0064757	115
0065324	140
0065371	1
0065750	27
0066127	107
0066560	28
0066654	2
0066751	177
0067206	48
0067335	20
0067662	209
0070014	97
0070454	2
0072416	210
0073210	9
0073267	79
0074243	83
0075674	512
0077340	99
0077427	410
0100626	39
0100714	884
0100725	242
0100762	20
0101032	420
0101123	32
0101265	85
0102444	72
0103130	47
0103146	70
0103175	1
0103314	69
0103374	45
0105072	1266
0105454	91
0107305	94
0110513	34
0110672	42
0110674	170
0111052	319
0111356	127
0112037	83
0112040	97
0112725	89
0113724	723
0114365	25
0116711	192
0116744	84
0117147	11
0117263	106
0117605	19
0120133	18
0120300	278
0120775	9
0121103	589
0123003	1
0123326	127
0123703	76
0125444	189
0126611	212
0130067	1
0131463	15
0132144	585
0132243	1
0133660	170
0134516	19
0135043	101
0135054	100
0135232	233
0135751	6
0136553	79
0137162	242
0137356	136
0137736	254
0140672	6
0140673	53
0141053	98
0141233	8
0141730	299
0141747	54
0142100	1
0142167	88
0142214	28
0142657	256
0144032	12
0144042	117
0144220	2
0144554	23
0144731	45
0145600	293
0147110	17
0147621	2527
0147763	601
0150372	229
0150472	67
0150760	77
0151000	456
01510020R	24
0151115	102
0151434	439
0151504	273
0151620	40
0152016	75
0153605	153
0153611	142
0154720	143
0155112	16
0155157	299
0157312	59
0157313	303
0157375	380
0163114	63
0164074	114
0165035	142
0165053	160
0165543	44
0166161	166
0171671	196
0171675	7
0173225	197
0173320	181
0173555	23
0174752	48
0174763	85
0175411	240
0177346	109
0177625	148
0177722	116
0200525	10
0200547	25
0201543	12
0202503	34
0203706	268
0203727	75
0204271	167
0204522	101
0204634	165
0207224	267
0207277	702
0207705	1
0210174	777
0210453	38
0211301	76
0212271	278
0213155	1762
0213264	332
0214055	359
0214745	251
0215145	1
0215166	991
0215645	62
0217132	225
0217410	496
0217440	47
0217764	132
0222526	178
0222527	1
0222643	403
0224131	140
0226040	792
0226661	31
0226703	98
0227276	445
0230027	134
0231335	709
0231714	56
0231737	44
0233223	7
0234135	406
0234361	202
0234640	10
0235066	1
0235266	626
0235700	1
0236217	275
0236512	85
0236760	243
0240537	12
0241111	26
0241212	105
0242543	271
0242726	146
0243242	5
0243471	49
0243532	551
0243704	819
0243705	387
0244135	1
0244160	122
0244736	1
0245075	61
0245122	6
0245331	257
0246127	206
0247035	478
0247660	1216
0250641	225
0250655	25
0251711	39
0252052	93
0252155	2
0253002	1
0253357	497
0253456	28
0253664	203
0254164	11
0254212	1
0254463	57
0255562	1339
0256422	45
0260231	1145
0260316	72
0260564	230
0261412	243
0261510	5
0262321	108
0262322	176
0262521	506
0262613	1
0263125	1
0263470	1
0264620	128
0266236	3
0266262	522
0267200	537
0267442	119
0267637	23
0270707	301
0271103	3
0312020	131
0312676	18
0313225	233
0314024	80
0314524	35
0315061	532
0315073	47
0316266	1
0316520	6
0316571	46
0317051	67
0317062	17
0320626	69
0320657	5066
