NlmUniqueID	PMID
0000201	739
0000211	4181
0000212	213
0000213	1154
0000216	1058
0000220	151
0000221	1719
0000256	2
0000261	35
0000262	190
0000266	6
0000304	18
0000670	2
0000745	6
0001007	267
0001010	4287
0001011	2026
0001027	5913
0001061	14
0001470	44
0001556	133
0001626	10
0001640	268
0001703	1
0001760	11
0001770	6
0002045	284
0002052	220
0002217	3
0002256	1379
0002266	1928
0002331	21
0002344	142
0002442	29
0002462	53
0002545	1
0002552	186
0002662	6
0002702	2
0003044	77
0003102	24
0003163	4521
0003354	15
0003403	3537
0003423	19
0004017	1318
0004021	2370
0004041	25219
0004047	719
0004254	2
0004276	2994
0004333	380
0004334	67
0004343	16
0004455	620
0004457	93
0004653	9644
0004704	199
0004706	22
0004743	17885
0005023	3244
0005130	72
0005256	1310
0005327	2193
0005331	6155
0005535	1
0005610	1
0005735	3614
0006021	25
0006226	6
0006250	2
0006252	4361
0006253	1
0006276	26
0006440	7897
0006450	8
0006522	1
0006601	20
0006672	9475
0006673	61
0006723	37103
0006761	10325
0006762	249
0006777	12579
0007110	119
0007200	7
0007275	33
0007305	6361
0007504	1
0007506	987
0007616	60
0007677	10
0010076	1802
0010301	1410
0010333	6705
0010505	17394
0010615	1
00110640R	55
0011077	318
0011363	1512
0011434	1
0011620	149
0011622	205
0011672	415
0012036	33006
0012040	722
0012330	1635
0012445	289
0012737	11111
0013103	99
0013104	1
0013105	6733
0013243	3068
0013252	1
0013255	4081
0013260	3
0013262	4
0013576	12
0013615	6
0013665	7
0013747	2859
0014016	689
0014024	311
0014030	20237
0014032	1
0014035	718
00140360R	372
0014050	94
0014051	9
0014052	6578
0014060	20
0014067	4179
0014133	12947
0014157	1325
0014162	506
0014167	213
0014171	6718
0014204	596
0014206	142
0014207	2461
0014210	27
0014405	11
0015266	697
0015312	322
0015362	44
0015363	2331
0015370	404
0015376	1127
0016262	733
0016576	205
0016577	61
0016603	28
0016604	22
0016621	7
0017036	1
0017172	7
0017240	3
0017241	25
0017314	3366
0017372	170
0017416	152
0017454	311
0017457	1653
0017463	98
0017501	91
0017523	110
0017615	3
0017632	1
0017767	654
0020066	32
0020267	1
0020417	1565
0020712	1252
0020713	9819
0021114	6
0021263	1803
0021406	3845
0021417	1
0021740	6
0022164	3
0022210	1261
0022245	1
0022370	1280
0022452	30
0022623	7402
0022635	49
0022726	329
0023124	54
0023271	518
0023410	1
0023416	3014
0023525	2226
0023573	25
0023623	67
0023627	16
0023661	314
0023662	6
0023766	163
0023773	1
0024022	4
0024025	7
0024034	710
0024046	3254
0024060	1538
0024064	38
0024237	811
0024571	1
0024646	16
0024675	59
0024724	446
0024731	63
0024737	1
0024764	1
0025435	15
0025637	115
0025654	3
0025770	2485
0026222	59
0026247	3
0026251	531
0026740	9
0027050	1
0027065	2
0027133	9
0027176	2
0027317	5171
0027374	23
0027437	541
0027440	8354
0027501	1
0027704	347
0027707	32069
0030130	4371
0030444	7801
0031153	812
0031164	35984
0031221	2
0031306	1656
0031315	3
0031333	9
0031351	1
0031517	3
0031550	6897
0031651	10
0031734	248
0032075	436
0032101	56
0032151	2
0032166	701
0032306	430
0032311	543
0032342	1
0032351	1101
0032352	3900
0032450	143
0032510	37
0032666	2580
0033040	94
0033046	714
0033325	1
0033334	879
0033335	893
0033336	472
0033356	239
0033360	566
0033370	5817
0033401	21
0033473	24
0033567	6
0033620	1253
0033671	148
0033754	30
0033760	10
0033776	16
0034007	6
0034027	6
0034270	3782
0034351	17974
0034461	6200
0034470	51
0034616	247
0034617	2387
0034640	4
0034745	190
0035247	100
0035301	120
0035477	492
0035523	1457
0035623	11871
0035654	39
0035665	6089
0035777	17
0036137	2
0036162	149
0036320	427
0036410	1
0036662	21
0036665	36
0036761	324
0037013	4
0037035	4
0037112	17
0037125	252
0037177	5
0037206	14
0037265	13
0037276	191
0037353	591
0037362	49
0037504	2
0040021	51
0040024	15
0040162	1698
0040250	5251
0040373	1
0040527	178
0040616	1098
0040752	117
0041135	22
0041265	11
0042005	7452
0042033	3638
0042116	1419
0042124	26140
0042143	1182
0042334	173
0042336	29
0042365	57
0042510	9
0042624	1
0042671	7515
0042715	70
0042767	6
0043110	18
0043125	25966
0043147	1
0043154	135
0043175	2229
0043246	8
0043264	46
0043306	970
0043312	15610
0043417	1087
0043441	12
0043523	64
0043524	5192
0043533	1977
0043535	10824
0043541	5467
0043545	90
0043605	25
0043617	132
0043732	4
0043764	202
0044034	13
0044071	33
0044263	1161
0044272	4
0044350	138
0044500	861
0044560	107
0044610	216
0044637	1611
0044652	3489
0044671	3416
0045130	362
0045170	31
0045233	1735
0045265	1
0045312	5631
0045332	145
0045335	825
0045354	24
0045377	6789
0045406	15
0045472	77
0045503	59939
0045506	6
0045507	654
0045533	1153
0045606	2716
0045677	775
0045715	92
0045747	8
0046021	14142
0046024	807
0046027	30
0046052	1964
0046314	2
0046347	52
0046433	77
0046535	2
0046550	12
0047061	6115
0047103	18480
0047107	67
0047142	3776
0047220	107
0047354	6969
0047421	1025
0047422	60
0047441	3499
0047556	80
0047634	76
0047670	4
0047723	28
0047757	11
0050006	37
0050076	12
0050115	4
0050202	60
0050222	16757
0050235	1
0050303	644
0050430	7
0050435	25
0050452	4353
0050556	1
0050610	590
0050620	8
0050636	24
0050677	130
0050734	1716
0050772	239
0051012	5615
0051104	216
0051420	241
0051452	41
0051530	1
0051531	5
0051574	713
0051757	3
0052130	681
0052457	16695
0052631	19790
0052704	505
0053006	4231
0053225	162
0053252	1863
0053303	52
0053353	1
0053462	1
0054202	15
0054204	209
0054211	110
0054224	3404
0054655	7040
0055030	47
0055107	4221
0055201	107
0055203	140
0055371	794
0055427	530
0055467	427
0055564	618
0055616	434
0055635	4
0055653	357
0055673	1
0056011	27
0056013	7
0056205	1
0056272	57
0056471	5287
0056517	275
0056714	1
0057026	47
0057113	2544
0057120	182
0057161	548
0057202	14897
0057204	2
0057376	95
0057664	885
0057730	5
0057764	176
0060105	10900
0060172	1
0060366	267
0060433	57
0060440	1
0060441	3
0060450	7896
0060461	1
0060503	88
0060560	36
0060610	1458
0060612	370
0060642	145
0060677	123
0060752	1
0060757	442
0060760	717
0061156	26
0061242	426
0061331	491
0061352	8
0061353	139
0061372	973
0061432	165
0061473	2
0061476	3391
0061573	935
0061651	135
0062434	174
0062647	1646
0062702	354
0063012	18
0063015	491
0063132	38
0063222	118
0063413	489
0063417	2174
0063501	5
0063661	1420
0063733	1279
0063734	254
0063742	8
0064143	3
0064145	35
0064224	5
0064233	405
0064270	2
0064302	25
0064362	177
0064375	54
0064523	58
0064572	308
0064717	368
0064720	30
0064753	1318
0064754	33
0064756	11
0064757	6717
0064761	14
0065035	86
0065163	7
0065217	39
0065255	12
0065324	9449
0065346	213
0065371	6
0065403	4
0065720	1
0065750	2090
0066040	2811
0066127	7369
0066130	7
0066175	96
0066413	1554
0066472	3
0066560	71
0066654	7
0066741	3
0066751	10385
0067036	8
0067206	3474
0067303	218
0067335	188
0067406	66
0067457	688
0067507	2221
0067643	10
0067662	3085
0067712	344
0067713	1
0067723	1
0067725	618
0067753	2036
0070014	5051
0070073	334
0070154	958
0070157	197
0070163	739
0070205	3
0070311	2
0070414	1
0070454	84
0070456	5
0070626	3
0070743	20
0070744	1
0070765	282
0071033	17
0071035	179
0071075	72
0071152	859
0071320	1375
0071414	394
0071431	254
0071432	1
0071461	457
0071530	84
0071535	266
0071543	16
0071567	245
0071570	1
0071761	296
0072026	2
0072265	148
0072416	6738
0072456	1199
0072564	50
0073130	134
0073210	795
0073267	2497
0073315	20
0073340	49
0073354	13
0073436	3
0073774	37
0074071	1021
0074126	2121
0074243	8279
0074245	2367
0074253	6375
0074364	1375
0074404	715
0074406	1
0074407	1
0074422	406
0075005	56
0075052	36
0075472	51
0075674	25100
0076003	8
0076033	336
0076155	4
0076224	171
0076246	6
0076274	3
0076362	478
0076444	20
0076450	19
0077011	3
0077340	16059
0077360	3
0077427	11887
0077540	5
0077707	551
0100036	10
0100043	63
0100153	137
0100314	172
0100331	1418
0100626	1825
0100712	2
0100714	13666
0100725	5800
0100762	394
0100776	328
0101032	28022
0101051	231
0101101	1
0101102	11
0101123	3290
0101157	61
0101241	22
0101265	6103
0101303	339
0101352	240
0101370	11852
0101604	76
0101671	2360
0101672	2318
0101770	46
0102017	3
0102300	3
0102366	9
0102444	5246
0102505	102
0102537	214
0102640	42
0102642	10
0102673	8
0102753	765
0102754	9
0102777	871
0103071	546
0103130	1801
0103146	3050
0103164	265
