Year	counts	unconquerables_counts	ratio	counts_currently_indexed	ratio2
2023	14661	1153	0.07864402155378214	13118	0.08789449611221223
2022	1595029	84017	0.052674277395583405	1244839	0.06749226205155848
2021	1567593	90125	0.057492601714858385	1205319	0.07477273651207689
2020	1404250	86827	0.061831582695389	1119747	0.0775416232416787
2019	1228698	84499	0.06877117078403318	1021270	0.08273913852360297
2018	1173512	84469	0.07197966446018447	991396	0.08520207868500579
2017	1126807	82857	0.073532557039493	962374	0.08609646561523898
2016	1115665	83571	0.07490689409455348	941528	0.08876103525333288
2015	1089448	83591	0.07672784749708109	916148	0.09124180809214232
2014	1044361	81923	0.07844318200315792	886054	0.09245824746573007
2013	996782	81026	0.08128758344352126	852305	0.09506690679979585
2012	941292	78822	0.08373809614869775	800410	0.09847703052185755
2011	876467	76932	0.08777512444849607	748736	0.10274916659543551
2010	823481	75116	0.09121764800887938	710533	0.10571782028420917
2009	784874	73691	0.09388895542469237	680895	0.10822667224755653
2008	751705	71877	0.09561862698798065	651502	0.1103250642361804
2007	710899	68691	0.09662554033695363	615689	0.11156769083092276
2006	685436	62795	0.0916132213656709	589210	0.10657490538178238
2005	656792	59365	0.09038630190379907	557296	0.10652328385633487
2004	620569	55704	0.08976278222083281	522274	0.10665665914826317
2003	584521	53159	0.09094455117951279	489221	0.10866050312639891
2002	559108	48495	0.08673637293689233	461276	0.10513228522619864
2001	543816	44081	0.0810586669020404	440304	0.10011492060031252
2000	530523	43418	0.08183999562695679	425731	0.10198458651120074
1999	493783	38759	0.07849399432544256	385455	0.10055389085626078
1998	474667	37960	0.07997185395234975	367334	0.10333919539165991
1997	456776	36743	0.08043986549205738	347649	0.10568993438784521
1996	458570	35000	0.0763242253091131	340716	0.10272485002171897
1995	449113	34325	0.07642842669884863	327669	0.10475510347332216
1994	438238	33066	0.07545215157060775	312793	0.10571208434971371
1993	426722	32491	0.07614090672615895	296022	0.10975873414813764
1992	417997	30926	0.07398617693428422	283977	0.10890318582138694
1991	413174	30793	0.07452792286058658	269222	0.11437772544591453
1990	410614	30695	0.07475390512744329	258817	0.118597310068504
1989	402772	30363	0.07538508138599505	246310	0.123271487150339
1988	387020	29562	0.0763836494238024	231182	0.12787327733128012
1987	367984	28442	0.07729140397408583	215334	0.13208318240500802
