NlmUniqueID	Title	MedlineTA	Country	Place	Publisher	PublicationFirstYear	PublicationEndYear	Frequency	ISSN-Electronic	ISSN-Print	ISSN-Linking	Language	TitleContinuationYN	IndexingStartDate	CurrentlyIndexedYN	IndexOnlineYN	IndexingSubset	IndexingSelectedURL	ReportedMedlineYN	ISSN	sherpa_has_oa_path	embargo	embargo_published_version	embargo_accepted_version	sherpa_oa_green	additional_oa_fee	title_sherpa	issne_sherpa	issnp_sherpa	url	publisher_id	publisher_country	publisher_type	publisher_url	publisher_name	sherpa_uri	sherpa_created	sherpa_last_modified	sherpa_id	DOAJ_pissn	ISSN_old	DOAJ_title	DOAJ_eissn	DOAJ_Seal	DOAJ_date	DOAJ_year	DOAJ_license	DOAJ_author_holds_copyright_without_restrictions	DOAJ_last_updated	DOAJ_APC	DOAJ	year_founded	year_reverse_flipped	journal_location	society_affiliation	other_sci_affiliation	flipped_journal_name	post_flip_publisher	flipped_access_model	apc_pre	apc_post	apc_now	discipline	flipped_oa	flipped_born_oa	flipped_embargo	Reverse_Flip	not_sherpa_and_not_doaj_or_not_oa	first_year	last_year	PMIDs	PMIDs_2021	PMIDs_2022	DOIs	unconquerables	lenght_years_pubmed	DOIs_ratio
101714112	A&A practice	A A Pract	United States	[Philadelphia, PA]	Wolters Kluwer Health, Inc.	2018		Biweekly	2575-3126		2575-3126	eng	Y	2018.0	Y	Y	IM	https://ovidsp.ovid.com/ovidweb.cgi?T=JS&MODE=ovid&PAGE=toc&D=ovft&AN=02054229-000000000-00000	Y	2575-3126																																																yes	2018.0	2022.0	999.0	187.0	73.0	999.0	1.0	4.0	1.0
101269322	AACN advanced critical care	AACN Adv Crit Care	United States	Aliso Viejo, CA	American Association of Critical-Care Nurses (AACN)	2006		Quarterly	1559-7776	1559-7768	1559-7768	eng	Y	2006.0	Y	Y	N	https://aacnjournals.org/aacnacconline	Y	1559-7776	yes						AACN Advanced Critical Care	1559-7776	1559-7768	http://acc.aacnjournals.org/	663.0	us	society_publisher	https://www.aacn.org/	American Association of Critical Care Nurses	https://v2.sherpa.ac.uk/id/publisher_policy/663	2010-08-24 15:05:09	2022-07-08 08:42:33	10921.0																													yes	2006.0	2022.0	851.0	59.0	37.0	837.0	1.0	16.0	0.9835487661574618
0431420	AANA journal	AANA J	United States	Park Ridge, Ill.	American Association of Nurse Anesthetists	1974		Bimonthly	2162-5239	0094-6354	0094-6354	eng	N	1974.0	Y	Y	N	https://www.aana.com/publications/aana-journal	Y	2162-5239																																																yes	1974.0	2022.0	2547.0	75.0	60.0	0.0	1.0	48.0	0.0
101206716	Acta biochimica et biophysica Sinica	Acta Biochim Biophys Sin (Shanghai)	China	Shanghai	China Science Publishing & Media Ltd.	2004		Monthly	1745-7270	1672-9145	1672-9145	eng	Y	2004.0	Y	Y	IM	https://academic.oup.com/abbs	Y	1745-7270																																																yes	2004.0	2022.0	2691.0	195.0	182.0	2642.0	1.0	18.0	0.9817911557041992
101194794	Acta of bioengineering and biomechanics	Acta Bioeng Biomech	Poland	Wrocław	Oficyna Wydawnicza Politechniki Wrocławskiej	1999		Irregular		1509-409X	1509-409X	eng	N	2007.0	Y	Y	IM	http://www.actabio.pwr.wroc.pl/archive.php	Y	1509-409X																																																yes	2007.0	2021.0	847.0	54.0	0.0	0.0	1.0	14.0	0.0
101295064	Acta bio-medica : Atenei Parmensis	Acta Biomed	Italy	Fidenza, Parma	Mattioli 1885	2002		Three no. a year	2531-6745	0392-4203	0392-4203	eng	Y	2002.0	Y	Y	IM	http://www.mattioli1885journals.com/index.php/actabiomedica/issue/archive	Y	2531-6745																																																yes	2002.0	2022.0	2846.0	432.0	380.0	2009.0	1.0	20.0	0.7059030217849613
0407123	Acta chirurgiae orthopaedicae et traumatologiae Cechoslovaca	Acta Chir Orthop Traumatol Cech	Czech Republic	Praha	Scientia Medica	1950		Bimonthly		0001-5415	0001-5415	cze	N	1965.0	Y	Y	IM	http://www.achot.cz/vydanacisla.php	Y	0001-5415																																																yes	1950.0	2022.0	5016.0	70.0	53.0	0.0	1.0	72.0	0.0
0370301	Acta chirurgiae plasticae	Acta Chir Plast	Czech Republic	Praha	Galen Prague	1959		Four no. a year	1805-4404	0001-5423	0001-5423	eng	N	1965.0	Y	N	IM		Y	1805-4404																																																yes	1959.0	2022.0	1625.0	26.0	13.0	39.0	1.0	63.0	0.024
9422563	Acta dermatovenerologica Alpina, Pannonica, et Adriatica	Acta Dermatovenerol Alp Pannonica Adriat	Slovenia	Ljubljana	Združenje Slovenskih Dermatovenerologov	1992		Quarterly	1581-2979	1318-4458	1318-4458	eng	N	2005.0	Y	Y	IM	http://www.acta-apa.org/	Y	1581-2979																																																yes	2004.0	2022.0	589.0	37.0	32.0	94.0	1.0	18.0	0.15959252971137522
9433781	Acta dermatovenerologica Croatica : ADC	Acta Dermatovenerol Croat	Croatia	Zagreb	Croatian Dermatovenerological Society	1993		Four no. a year	1847-6538	1330-027X	1330-027X	hrv	N	2001.0	Y	Y	IM	http://adc.mef.hr/index.php/adc/issue/archive	Y	1847-6538																																																yes	2001.0	2022.0	986.0	35.0	23.0	0.0	1.0	21.0	0.0
0414075	Acta gastro-enterologica Belgica	Acta Gastroenterol Belg	Belgium	Wetteren, Belgium	Universa Press	1946		Four no. a year		1784-3227	1784-3227	eng	N	1965.0	Y	N	IM		Y	1784-3227																																																yes	1946.0	2022.0	4834.0	103.0	75.0	178.0	1.0	76.0	0.036822507240380636
0417611	Acta medica Okayama	Acta Med Okayama	Japan	Okayama	Okayama University Medical School	1973		Six no. a year		0386-300X	0386-300X	eng	N	1973.0	Y	Y	IM	http://escholarship.lib.okayama-u.ac.jp/amo/	Y	0386-300X																																																yes	1973.0	2022.0	2724.0	105.0	80.0	2414.0	1.0	49.0	0.8861967694566814
9811169	Acta myologica : myopathies and cardiomyopathies : official journal of the Mediterranean Society of Myology	Acta Myol	Italy	Napoli	Gaetano Conte Academy	1997		Three no. a year	2532-1900	1128-2460	1128-2460	eng	N	2003.0	Y	Y	IM	http://www.ncbi.nlm.nih.gov/pmc/journals/1221/	Y	2532-1900																																																yes	2003.0	2022.0	423.0	23.0	19.0	80.0	1.0	19.0	0.18912529550827423
